MachineChangeoverKey,ChangeoverCode,MachineKey,FromProductKey,ToProductKey,OeeCalculationMethodKey,MachineChangeoverName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
102,MC000102,297,-1,-1,12,Pioneer MachineChangeover 102,MC000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,38331eaabdc35319a5d290d3e5d1d0fd38331eaabdc35319a5d290d3e5d1d0fd
103,MC000103,67,167,406,3,Forge MachineChangeover 103,MC000103,1,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c84d14aa4118524ba287c7db8e9fed0bc84d14aa4118524ba287c7db8e9fed0b
104,MC000104,379,355,435,9,Meridian MachineChangeover 104,MC000104,1,152.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c88d25406885d97baabaa43b6276d144c88d25406885d97baabaa43b6276d14
105,MC000105,97,81,72,6,Harbor MachineChangeover 105,MC000105,0,153.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ec31c40af9456a1b01c83cc0e8e26729ec31c40af9456a1b01c83cc0e8e2672
106,MC000106,257,360,181,8,Forge MachineChangeover 106,MC000106,1,155.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,efb0bfe049bb571caaa5ca8c992d06d5efb0bfe049bb571caaa5ca8c992d06d5
107,MC000107,498,2,11,8,Evergreen MachineChangeover 107,MC000107,1,156.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e933b283dcbe5b9887bf7a982bd635fae933b283dcbe5b9887bf7a982bd635fa
108,MC000108,279,14,407,1,Vertex MachineChangeover 108,MC000108,1,157.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0a0f83e826c35416b6f0252ace2fd7010a0f83e826c35416b6f0252ace2fd701
109,MC000109,67,10,238,12,Zenith MachineChangeover 109,MC000109,1,159.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,551ddc477303553ebab704df16392ede551ddc477303553ebab704df16392ede
110,MC000110,114,8,301,11,Ion MachineChangeover 110,MC000110,0,160.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7b6e092521b25cbaa1af79a238d5d7697b6e092521b25cbaa1af79a238d5d769
111,MC000111,311,6,500,1,Pioneer MachineChangeover 111,MC000111,1,162.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,01c86644f5325ebc86d2e47106e9fb1301c86644f5325ebc86d2e47106e9fb13
112,MC000112,256,49,261,3,Liberty MachineChangeover 112,MC000112,1,163.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca89a5144ffa57aab2786b3a8c043bdcca89a5144ffa57aab2786b3a8c043bdc
113,MC000113,45,319,64,3,Willow MachineChangeover 113,MC000113,1,164.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,209d8098f69257949409cd95f8b9af72209d8098f69257949409cd95f8b9af72
114,MC000114,81,251,254,10,Quartz MachineChangeover 114,MC000114,1,166.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5ca2d9e978785a29a906d9e5e76f81fa5ca2d9e978785a29a906d9e5e76f81fa
115,MC000115,123,212,27,5,Granite MachineChangeover 115,MC000115,0,167.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cad022bf4d4c50e2bea36d2f92ba1ad1cad022bf4d4c50e2bea36d2f92ba1ad1
116,MC000116,12,454,220,1,Titan MachineChangeover 116,MC000116,1,168.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d817569dd26582ea999a41e648cfca05d817569dd26582ea999a41e648cfca0
117,MC000117,178,423,339,5,Willow MachineChangeover 117,MC000117,1,170.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,295b060375015e7bb6a9d7853da8c96a295b060375015e7bb6a9d7853da8c96a
118,MC000118,437,344,451,8,Titan MachineChangeover 118,MC000118,1,171.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f8beb684a6253bcb410eed40cad42f91f8beb684a6253bcb410eed40cad42f9
119,MC000119,259,-1,-1,2,Beacon MachineChangeover 119,MC000119,1,173.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fc68b12ad9f95fe7b0cbf74cf4348b00fc68b12ad9f95fe7b0cbf74cf4348b00
120,MC000120,263,447,62,12,Forge MachineChangeover 120,MC000120,0,174.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c772260217225ed7861a14d28b335c2fc772260217225ed7861a14d28b335c2f
121,MC000121,173,198,164,12,Liberty MachineChangeover 121,MC000121,1,175.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,327ee3591990586cb8093ebf3a9bcb63327ee3591990586cb8093ebf3a9bcb63
122,MC000122,114,370,294,10,Liberty MachineChangeover 122,MC000122,1,177.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0732d82cd9d955b89879a70cddb21fdf0732d82cd9d955b89879a70cddb21fdf
123,MC000123,16,117,233,3,Willow MachineChangeover 123,MC000123,1,178.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9b1cdc03d88750ef841a986e16046cb69b1cdc03d88750ef841a986e16046cb6
124,MC000124,237,417,226,8,Evergreen MachineChangeover 124,MC000124,1,179.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5190a1325f2f574dad192507060fa13f5190a1325f2f574dad192507060fa13f
125,MC000125,111,402,95,8,Summit MachineChangeover 125,MC000125,0,181.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16a38e83ee0a5f78a2e074ea03964b8f16a38e83ee0a5f78a2e074ea03964b8f
126,MC000126,74,330,66,8,Unity MachineChangeover 126,MC000126,1,182.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,068cf65619e45b75b6166f5b53115b54068cf65619e45b75b6166f5b53115b54
127,MC000127,249,224,46,6,Evergreen MachineChangeover 127,MC000127,1,183.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57bd2ca183af5867adbd0629cfa5cc7a57bd2ca183af5867adbd0629cfa5cc7a
128,MC000128,405,251,431,3,Zenith MachineChangeover 128,MC000128,1,185.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1f5b1fbd024d5bfe8bd8de488516cfb21f5b1fbd024d5bfe8bd8de488516cfb2
129,MC000129,16,94,423,8,Titan MachineChangeover 129,MC000129,1,186.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e715430b8f9d58389f090a1f29c93866e715430b8f9d58389f090a1f29c93866
130,MC000130,472,193,388,9,Titan MachineChangeover 130,MC000130,0,188.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a5cafa2712c65a0a9ddbcf264e4cea29a5cafa2712c65a0a9ddbcf264e4cea29
131,MC000131,202,464,454,1,Summit MachineChangeover 131,MC000131,1,189.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7c43eb5b3bf1528ba597a2dc57f7c8cf7c43eb5b3bf1528ba597a2dc57f7c8cf
132,MC000132,263,29,166,3,Zenith MachineChangeover 132,MC000132,1,190.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82ce9365d30b58db829102e7dd82ed3d82ce9365d30b58db829102e7dd82ed3d
133,MC000133,483,453,310,4,Junction MachineChangeover 133,MC000133,1,192.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,95b942bc1623552ba267100d1e96026795b942bc1623552ba267100d1e960267
134,MC000134,220,228,9,2,Liberty MachineChangeover 134,MC000134,1,193.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,be9bdb436a67517d9192421d78fff176be9bdb436a67517d9192421d78fff176
135,MC000135,375,265,319,9,Riverton MachineChangeover 135,MC000135,0,194.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06045c7d799c5cb0979f67ef337afc7a06045c7d799c5cb0979f67ef337afc7a
136,MC000136,264,-1,-1,10,Keystone MachineChangeover 136,MC000136,1,196.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7acb968cc0f55310a0e3ec5a704573c77acb968cc0f55310a0e3ec5a704573c7
137,MC000137,40,415,205,3,Liberty MachineChangeover 137,MC000137,1,197.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,52433d0c1e505619a45ad80a9095f4e552433d0c1e505619a45ad80a9095f4e5
138,MC000138,474,1,223,2,Evergreen MachineChangeover 138,MC000138,1,199.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,93ed5221282f50b9a8e3873fd8edc0f793ed5221282f50b9a8e3873fd8edc0f7
139,MC000139,234,242,193,11,Granite MachineChangeover 139,MC000139,1,200.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,94b60fa5309c51669de7aa9dd2da4bd294b60fa5309c51669de7aa9dd2da4bd2
140,MC000140,207,93,338,10,Cedar MachineChangeover 140,MC000140,0,201.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fdbebb09e68359f895a4ccb8cab867e2fdbebb09e68359f895a4ccb8cab867e2
141,MC000141,264,32,483,12,Meridian MachineChangeover 141,MC000141,1,203.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0abb822bd3f5497bc210439bdd92325b0abb822bd3f5497bc210439bdd92325
142,MC000142,139,380,186,4,Summit MachineChangeover 142,MC000142,1,204.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24da7073b7f5589dab9c0e61e4df686924da7073b7f5589dab9c0e61e4df6869
143,MC000143,188,494,374,1,Riverton MachineChangeover 143,MC000143,1,205.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,148fb4f23e7955719e9b9fd3f2a4d9e6148fb4f23e7955719e9b9fd3f2a4d9e6
144,MC000144,63,490,151,10,Unity MachineChangeover 144,MC000144,1,207.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,948ae57aee8b5611a3f7bc701b27d8bb948ae57aee8b5611a3f7bc701b27d8bb
145,MC000145,191,109,132,2,Granite MachineChangeover 145,MC000145,0,208.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,676bdf9bc9c05c878154f6a9e0d84847676bdf9bc9c05c878154f6a9e0d84847
146,MC000146,358,376,247,6,Junction MachineChangeover 146,MC000146,1,210.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7a7a5fadf0705f9fb0ab7da1f4a2e9307a7a5fadf0705f9fb0ab7da1f4a2e930
147,MC000147,357,294,279,6,Keystone MachineChangeover 147,MC000147,1,211.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fe720ca9e71569ba0355a66dbc6bf2d0fe720ca9e71569ba0355a66dbc6bf2d
148,MC000148,491,298,484,8,Summit MachineChangeover 148,MC000148,1,212.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb33b339d8f852bba67b5371cd648d7bfb33b339d8f852bba67b5371cd648d7b
149,MC000149,250,6,248,2,Riverton MachineChangeover 149,MC000149,1,214.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0755400634235cfe88bb2db378aa56cb0755400634235cfe88bb2db378aa56cb
150,MC000150,389,366,175,5,Granite MachineChangeover 150,MC000150,0,215.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c0215062ed958e48bff3499244722a79c0215062ed958e48bff3499244722a7
151,MC000151,362,239,23,3,Forge MachineChangeover 151,MC000151,1,216.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,05d66550217e53cba02c92c08b77706805d66550217e53cba02c92c08b777068
152,MC000152,314,137,427,1,Liberty MachineChangeover 152,MC000152,1,218.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bf6db6b8b62d5a7890c164deea2f3ba0bf6db6b8b62d5a7890c164deea2f3ba0
153,MC000153,130,-1,-1,1,Orion MachineChangeover 153,MC000153,1,219.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d521173fda3f5cc98e032290ef58f03ed521173fda3f5cc98e032290ef58f03e
154,MC000154,41,469,72,12,Zenith MachineChangeover 154,MC000154,1,220.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac45354c0dc55f63a59596289c2a2cfaac45354c0dc55f63a59596289c2a2cfa
155,MC000155,134,497,342,4,Beacon MachineChangeover 155,MC000155,0,222.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,55cfa3a888495683ada959efa44d29a955cfa3a888495683ada959efa44d29a9
156,MC000156,35,123,27,1,Harbor MachineChangeover 156,MC000156,1,223.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,117df3aa08ed5f408912753a56c44bc9117df3aa08ed5f408912753a56c44bc9
157,MC000157,358,216,343,4,Orion MachineChangeover 157,MC000157,1,225.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,abc3b655c4105ee8b0fcbaf597cc1bd9abc3b655c4105ee8b0fcbaf597cc1bd9
158,MC000158,200,45,204,7,Zenith MachineChangeover 158,MC000158,1,226.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a70800c1f3a55f6db15eb0175424161fa70800c1f3a55f6db15eb0175424161f
159,MC000159,268,293,12,4,Zenith MachineChangeover 159,MC000159,1,227.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b07aab2c5fb956d084e75605f934d938b07aab2c5fb956d084e75605f934d938
160,MC000160,345,149,47,11,Forge MachineChangeover 160,MC000160,0,229.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4dd89b0c045e50c28c46837f83bf8c364dd89b0c045e50c28c46837f83bf8c36
161,MC000161,25,196,364,12,Cedar MachineChangeover 161,MC000161,1,230.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,14ae7dfd6c59532cbe698c4c1ce140ad14ae7dfd6c59532cbe698c4c1ce140ad
162,MC000162,85,375,270,10,Ion MachineChangeover 162,MC000162,1,231.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b40042661ff15b14b21852f9188ff7bdb40042661ff15b14b21852f9188ff7bd
163,MC000163,280,120,371,12,Summit MachineChangeover 163,MC000163,1,233.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3319751b54a55d08b229de1d8bdd3f6a3319751b54a55d08b229de1d8bdd3f6a
164,MC000164,387,151,387,7,Riverton MachineChangeover 164,MC000164,1,234.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4a92c8ca08b653ef9316a9be6bb6a9ae4a92c8ca08b653ef9316a9be6bb6a9ae
165,MC000165,454,348,302,2,Orion MachineChangeover 165,MC000165,0,236.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb058fa3770155b8bae051b72bf8e60ebb058fa3770155b8bae051b72bf8e60e
166,MC000166,115,31,363,6,Zenith MachineChangeover 166,MC000166,1,237.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c74985a11cac540c83070b1569efe639c74985a11cac540c83070b1569efe639
167,MC000167,202,181,413,6,Pioneer MachineChangeover 167,MC000167,1,238.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d24f38840545832b6ce211ca0cbdfe52d24f38840545832b6ce211ca0cbdfe5
168,MC000168,436,409,380,2,Cedar MachineChangeover 168,MC000168,1,240.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d99afa9ea906569789efb991ea6a019cd99afa9ea906569789efb991ea6a019c
169,MC000169,463,343,224,4,Unity MachineChangeover 169,MC000169,1,241.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e60b2db31d4a502ca67a1b213a88a411e60b2db31d4a502ca67a1b213a88a411
170,MC000170,98,-1,-1,7,Junction MachineChangeover 170,MC000170,0,242.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e248f313265e582b940ac34d475c2f9ce248f313265e582b940ac34d475c2f9c
171,MC000171,122,189,53,3,Northstar MachineChangeover 171,MC000171,1,244.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7558aff2bf7a5081b9c593af3ff7a00c7558aff2bf7a5081b9c593af3ff7a00c
172,MC000172,128,442,295,7,Summit MachineChangeover 172,MC000172,1,245.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53cf9114f3a750d19a9321a07152b8ed53cf9114f3a750d19a9321a07152b8ed
173,MC000173,261,313,364,4,Vertex MachineChangeover 173,MC000173,1,247.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,415e80d3f59b5eb0b9d8ef3b5fbd3847415e80d3f59b5eb0b9d8ef3b5fbd3847
174,MC000174,28,9,136,11,Quartz MachineChangeover 174,MC000174,1,248.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,21eb0de184bd537db24981143fd8c31e21eb0de184bd537db24981143fd8c31e
175,MC000175,235,55,318,10,Forge MachineChangeover 175,MC000175,0,249.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f580dbaabe335e34b898eca14bb0aceef580dbaabe335e34b898eca14bb0acee
176,MC000176,71,3,125,3,Vertex MachineChangeover 176,MC000176,1,251.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,445f91809bae5010a61705268e72ed20445f91809bae5010a61705268e72ed20
177,MC000177,8,16,41,3,Meridian MachineChangeover 177,MC000177,1,252.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4442280e93c457db8fba38642f7134784442280e93c457db8fba38642f713478
178,MC000178,291,49,56,1,Vertex MachineChangeover 178,MC000178,1,253.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06c6646efa945188be53c611a2fae95106c6646efa945188be53c611a2fae951
179,MC000179,495,201,436,4,Willow MachineChangeover 179,MC000179,1,255.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d52c9cca80b353189bb4c3be3433cf02d52c9cca80b353189bb4c3be3433cf02
180,MC000180,291,433,288,6,Keystone MachineChangeover 180,MC000180,0,256.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c2613de271c5d338f1a1ea4164942cd8c2613de271c5d338f1a1ea4164942cd
181,MC000181,311,192,61,4,Pioneer MachineChangeover 181,MC000181,1,257.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4886eb5a86c6535694532fb76ec864314886eb5a86c6535694532fb76ec86431
182,MC000182,51,79,156,4,Keystone MachineChangeover 182,MC000182,1,259.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,674e3f7344625c98afa093a45381fbf2674e3f7344625c98afa093a45381fbf2
183,MC000183,76,175,131,4,Cedar MachineChangeover 183,MC000183,1,260.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,232cd77c5183555789a4507f253fdf3b232cd77c5183555789a4507f253fdf3b
184,MC000184,320,80,342,2,Orion MachineChangeover 184,MC000184,1,262.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec1b85c5a34d52518bbf8eba46132202ec1b85c5a34d52518bbf8eba46132202
185,MC000185,188,326,423,9,Quartz MachineChangeover 185,MC000185,0,263.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1e64aeaf5a115442bc0119f86d9926671e64aeaf5a115442bc0119f86d992667
186,MC000186,263,253,139,11,Liberty MachineChangeover 186,MC000186,1,264.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,755147b96baa5990a1a75a7d8364b9c7755147b96baa5990a1a75a7d8364b9c7
187,MC000187,98,-1,-1,8,Summit MachineChangeover 187,MC000187,1,266.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd1ee4bcbfa55353b19eb074006dad30fd1ee4bcbfa55353b19eb074006dad30
188,MC000188,294,308,186,11,Vertex MachineChangeover 188,MC000188,1,267.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3a934de506b75dde89a215ecc6c0c79d3a934de506b75dde89a215ecc6c0c79d
189,MC000189,280,466,65,9,Atlas MachineChangeover 189,MC000189,1,268.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,429b24e327f6556687bdff4ed2713a73429b24e327f6556687bdff4ed2713a73
190,MC000190,404,171,40,3,Granite MachineChangeover 190,MC000190,0,270.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5888b4f79a7855fc866c63dfde66d9955888b4f79a7855fc866c63dfde66d995
191,MC000191,204,38,385,1,Summit MachineChangeover 191,MC000191,1,271.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d371c56c193b59d3869721146c279c42d371c56c193b59d3869721146c279c42
192,MC000192,377,269,243,6,Granite MachineChangeover 192,MC000192,1,273.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da7c61c1d6135db78d33e0988dde6020da7c61c1d6135db78d33e0988dde6020
193,MC000193,124,245,253,1,Delta MachineChangeover 193,MC000193,1,274.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26faf75d37c55c1e88db9f62ca49a31026faf75d37c55c1e88db9f62ca49a310
194,MC000194,197,380,140,7,Atlas MachineChangeover 194,MC000194,1,275.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,162667599d2d5e599d80a4fee83bcaec162667599d2d5e599d80a4fee83bcaec
195,MC000195,319,199,96,10,Meridian MachineChangeover 195,MC000195,0,277.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f532e634ade757539d0f1d4e786f9cdbf532e634ade757539d0f1d4e786f9cdb
196,MC000196,2,150,180,9,Summit MachineChangeover 196,MC000196,1,278.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,07274bdda2d85bf9a4c80723fb54c3e607274bdda2d85bf9a4c80723fb54c3e6
197,MC000197,228,327,494,10,Atlas MachineChangeover 197,MC000197,1,279.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,010a8281272d5d958857370eb9486a09010a8281272d5d958857370eb9486a09
198,MC000198,219,125,218,6,Cedar MachineChangeover 198,MC000198,1,281.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b52a5c112afb5584824bf4b9835dcb9db52a5c112afb5584824bf4b9835dcb9d
199,MC000199,258,139,494,6,Orion MachineChangeover 199,MC000199,1,282.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,823076202a875abd9d4fd1eb0d83927a823076202a875abd9d4fd1eb0d83927a
200,MC000200,421,444,137,11,Delta MachineChangeover 200,MC000200,0,284.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,374549744ea552bdb5b37c690b126886374549744ea552bdb5b37c690b126886
201,MC000201,79,81,92,10,Quartz MachineChangeover 201,MC000201,1,285.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7793d43d74a158fb817ae65f049effdc7793d43d74a158fb817ae65f049effdc
202,MC000202,384,83,359,7,Atlas MachineChangeover 202,MC000202,1,286.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6352927bc98c59bd9249b9ac896409a66352927bc98c59bd9249b9ac896409a6
203,MC000203,446,473,432,2,Titan MachineChangeover 203,MC000203,1,288.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32b0f1b87bbb59afa8cc6bf818d08c7632b0f1b87bbb59afa8cc6bf818d08c76
204,MC000204,394,-1,-1,5,Unity MachineChangeover 204,MC000204,1,289.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3084af924a325dcc9f8191c72fed27e43084af924a325dcc9f8191c72fed27e4
