ServiceRecallActivityKey,ServiceRecallActivityCode,ServiceCampaignKey,ServiceRecallActivityName,IsSafetyRelated,SourceSystemKey,BatchId,LoadedAtUtc
290,SRA000290,219,Pioneer ServiceRecallActivity 290,0,1,1,2026-08-24T00:00:00.000
291,SRA000291,413,Riverton ServiceRecallActivity 291,1,1,1,2026-08-24T00:00:00.000
292,SRA000292,378,Northstar ServiceRecallActivity 292,1,1,1,2026-08-24T00:00:00.000
293,SRA000293,341,Riverton ServiceRecallActivity 293,1,1,1,2026-08-24T00:00:00.000
294,SRA000294,116,Atlas ServiceRecallActivity 294,1,1,1,2026-08-24T00:00:00.000
295,SRA000295,360,Orion ServiceRecallActivity 295,0,1,1,2026-08-24T00:00:00.000
296,SRA000296,101,Atlas ServiceRecallActivity 296,1,1,1,2026-08-24T00:00:00.000
297,SRA000297,1,Forge ServiceRecallActivity 297,1,1,1,2026-08-24T00:00:00.000
298,SRA000298,440,Meridian ServiceRecallActivity 298,1,1,1,2026-08-24T00:00:00.000
299,SRA000299,76,Willow ServiceRecallActivity 299,1,1,1,2026-08-24T00:00:00.000
300,SRA000300,198,Delta ServiceRecallActivity 300,0,1,1,2026-08-24T00:00:00.000
301,SRA000301,475,Orion ServiceRecallActivity 301,1,1,1,2026-08-24T00:00:00.000
302,SRA000302,127,Titan ServiceRecallActivity 302,1,1,1,2026-08-24T00:00:00.000
303,SRA000303,199,Vertex ServiceRecallActivity 303,1,1,1,2026-08-24T00:00:00.000
304,SRA000304,463,Riverton ServiceRecallActivity 304,1,1,1,2026-08-24T00:00:00.000
305,SRA000305,29,Orion ServiceRecallActivity 305,0,1,1,2026-08-24T00:00:00.000
306,SRA000306,37,Junction ServiceRecallActivity 306,1,1,1,2026-08-24T00:00:00.000
307,SRA000307,114,Liberty ServiceRecallActivity 307,1,1,1,2026-08-24T00:00:00.000
308,SRA000308,300,Pioneer ServiceRecallActivity 308,1,1,1,2026-08-24T00:00:00.000
309,SRA000309,240,Delta ServiceRecallActivity 309,1,1,1,2026-08-24T00:00:00.000
310,SRA000310,195,Forge ServiceRecallActivity 310,0,1,1,2026-08-24T00:00:00.000
311,SRA000311,231,Evergreen ServiceRecallActivity 311,1,1,1,2026-08-24T00:00:00.000
312,SRA000312,81,Riverton ServiceRecallActivity 312,1,1,1,2026-08-24T00:00:00.000
313,SRA000313,181,Junction ServiceRecallActivity 313,1,1,1,2026-08-24T00:00:00.000
314,SRA000314,222,Vertex ServiceRecallActivity 314,1,1,1,2026-08-24T00:00:00.000
315,SRA000315,455,Ion ServiceRecallActivity 315,0,1,1,2026-08-24T00:00:00.000
316,SRA000316,349,Harbor ServiceRecallActivity 316,1,1,1,2026-08-24T00:00:00.000
317,SRA000317,117,Liberty ServiceRecallActivity 317,1,1,1,2026-08-24T00:00:00.000
318,SRA000318,340,Willow ServiceRecallActivity 318,1,1,1,2026-08-24T00:00:00.000
319,SRA000319,193,Pioneer ServiceRecallActivity 319,1,1,1,2026-08-24T00:00:00.000
320,SRA000320,454,Orion ServiceRecallActivity 320,0,1,1,2026-08-24T00:00:00.000
321,SRA000321,377,Delta ServiceRecallActivity 321,1,1,1,2026-08-24T00:00:00.000
322,SRA000322,132,Riverton ServiceRecallActivity 322,1,1,1,2026-08-24T00:00:00.000
323,SRA000323,258,Delta ServiceRecallActivity 323,1,1,1,2026-08-24T00:00:00.000
324,SRA000324,100,Orion ServiceRecallActivity 324,1,1,1,2026-08-24T00:00:00.000
325,SRA000325,130,Zenith ServiceRecallActivity 325,0,1,1,2026-08-24T00:00:00.000
326,SRA000326,202,Beacon ServiceRecallActivity 326,1,1,1,2026-08-24T00:00:00.000
327,SRA000327,369,Atlas ServiceRecallActivity 327,1,1,1,2026-08-24T00:00:00.000
328,SRA000328,385,Cedar ServiceRecallActivity 328,1,1,1,2026-08-24T00:00:00.000
329,SRA000329,108,Quartz ServiceRecallActivity 329,1,1,1,2026-08-24T00:00:00.000
330,SRA000330,47,Vertex ServiceRecallActivity 330,0,1,1,2026-08-24T00:00:00.000
331,SRA000331,174,Beacon ServiceRecallActivity 331,1,1,1,2026-08-24T00:00:00.000
332,SRA000332,362,Harbor ServiceRecallActivity 332,1,1,1,2026-08-24T00:00:00.000
333,SRA000333,94,Quartz ServiceRecallActivity 333,1,1,1,2026-08-24T00:00:00.000
334,SRA000334,258,Beacon ServiceRecallActivity 334,1,1,1,2026-08-24T00:00:00.000
335,SRA000335,117,Titan ServiceRecallActivity 335,0,1,1,2026-08-24T00:00:00.000
336,SRA000336,36,Vertex ServiceRecallActivity 336,1,1,1,2026-08-24T00:00:00.000
337,SRA000337,412,Liberty ServiceRecallActivity 337,1,1,1,2026-08-24T00:00:00.000
338,SRA000338,429,Ion ServiceRecallActivity 338,1,1,1,2026-08-24T00:00:00.000
339,SRA000339,480,Harbor ServiceRecallActivity 339,1,1,1,2026-08-24T00:00:00.000
340,SRA000340,27,Atlas ServiceRecallActivity 340,0,1,1,2026-08-24T00:00:00.000
341,SRA000341,224,Summit ServiceRecallActivity 341,1,1,1,2026-08-24T00:00:00.000
342,SRA000342,116,Liberty ServiceRecallActivity 342,1,1,1,2026-08-24T00:00:00.000
343,SRA000343,196,Meridian ServiceRecallActivity 343,1,1,1,2026-08-24T00:00:00.000
344,SRA000344,298,Quartz ServiceRecallActivity 344,1,1,1,2026-08-24T00:00:00.000
345,SRA000345,298,Atlas ServiceRecallActivity 345,0,1,1,2026-08-24T00:00:00.000
346,SRA000346,267,Vertex ServiceRecallActivity 346,1,1,1,2026-08-24T00:00:00.000
347,SRA000347,209,Pioneer ServiceRecallActivity 347,1,1,1,2026-08-24T00:00:00.000
348,SRA000348,323,Granite ServiceRecallActivity 348,1,1,1,2026-08-24T00:00:00.000
349,SRA000349,10,Summit ServiceRecallActivity 349,1,1,1,2026-08-24T00:00:00.000
350,SRA000350,400,Liberty ServiceRecallActivity 350,0,1,1,2026-08-24T00:00:00.000
351,SRA000351,256,Liberty ServiceRecallActivity 351,1,1,1,2026-08-24T00:00:00.000
352,SRA000352,90,Meridian ServiceRecallActivity 352,1,1,1,2026-08-24T00:00:00.000
353,SRA000353,201,Meridian ServiceRecallActivity 353,1,1,1,2026-08-24T00:00:00.000
354,SRA000354,142,Evergreen ServiceRecallActivity 354,1,1,1,2026-08-24T00:00:00.000
355,SRA000355,482,Evergreen ServiceRecallActivity 355,0,1,1,2026-08-24T00:00:00.000
356,SRA000356,400,Junction ServiceRecallActivity 356,1,1,1,2026-08-24T00:00:00.000
357,SRA000357,210,Forge ServiceRecallActivity 357,1,1,1,2026-08-24T00:00:00.000
358,SRA000358,487,Liberty ServiceRecallActivity 358,1,1,1,2026-08-24T00:00:00.000
359,SRA000359,430,Forge ServiceRecallActivity 359,1,1,1,2026-08-24T00:00:00.000
360,SRA000360,206,Cedar ServiceRecallActivity 360,0,1,1,2026-08-24T00:00:00.000
361,SRA000361,68,Riverton ServiceRecallActivity 361,1,1,1,2026-08-24T00:00:00.000
362,SRA000362,413,Evergreen ServiceRecallActivity 362,1,1,1,2026-08-24T00:00:00.000
363,SRA000363,72,Harbor ServiceRecallActivity 363,1,1,1,2026-08-24T00:00:00.000
364,SRA000364,459,Quartz ServiceRecallActivity 364,1,1,1,2026-08-24T00:00:00.000
365,SRA000365,142,Cedar ServiceRecallActivity 365,0,1,1,2026-08-24T00:00:00.000
366,SRA000366,18,Northstar ServiceRecallActivity 366,1,1,1,2026-08-24T00:00:00.000
367,SRA000367,95,Harbor ServiceRecallActivity 367,1,1,1,2026-08-24T00:00:00.000
368,SRA000368,443,Liberty ServiceRecallActivity 368,1,1,1,2026-08-24T00:00:00.000
369,SRA000369,226,Forge ServiceRecallActivity 369,1,1,1,2026-08-24T00:00:00.000
370,SRA000370,195,Orion ServiceRecallActivity 370,0,1,1,2026-08-24T00:00:00.000
371,SRA000371,218,Evergreen ServiceRecallActivity 371,1,1,1,2026-08-24T00:00:00.000
372,SRA000372,256,Summit ServiceRecallActivity 372,1,1,1,2026-08-24T00:00:00.000
373,SRA000373,191,Beacon ServiceRecallActivity 373,1,1,1,2026-08-24T00:00:00.000
374,SRA000374,385,Forge ServiceRecallActivity 374,1,1,1,2026-08-24T00:00:00.000
375,SRA000375,360,Willow ServiceRecallActivity 375,0,1,1,2026-08-24T00:00:00.000
376,SRA000376,382,Keystone ServiceRecallActivity 376,1,1,1,2026-08-24T00:00:00.000
377,SRA000377,483,Summit ServiceRecallActivity 377,1,1,1,2026-08-24T00:00:00.000
378,SRA000378,366,Pioneer ServiceRecallActivity 378,1,1,1,2026-08-24T00:00:00.000
379,SRA000379,242,Quartz ServiceRecallActivity 379,1,1,1,2026-08-24T00:00:00.000
380,SRA000380,461,Zenith ServiceRecallActivity 380,0,1,1,2026-08-24T00:00:00.000
381,SRA000381,40,Unity ServiceRecallActivity 381,1,1,1,2026-08-24T00:00:00.000
382,SRA000382,500,Vertex ServiceRecallActivity 382,1,1,1,2026-08-24T00:00:00.000
383,SRA000383,57,Forge ServiceRecallActivity 383,1,1,1,2026-08-24T00:00:00.000
384,SRA000384,269,Beacon ServiceRecallActivity 384,1,1,1,2026-08-24T00:00:00.000
385,SRA000385,324,Pioneer ServiceRecallActivity 385,0,1,1,2026-08-24T00:00:00.000
386,SRA000386,210,Meridian ServiceRecallActivity 386,1,1,1,2026-08-24T00:00:00.000
387,SRA000387,425,Titan ServiceRecallActivity 387,1,1,1,2026-08-24T00:00:00.000
388,SRA000388,478,Northstar ServiceRecallActivity 388,1,1,1,2026-08-24T00:00:00.000
389,SRA000389,132,Zenith ServiceRecallActivity 389,1,1,1,2026-08-24T00:00:00.000
390,SRA000390,432,Beacon ServiceRecallActivity 390,0,1,1,2026-08-24T00:00:00.000
391,SRA000391,421,Evergreen ServiceRecallActivity 391,1,1,1,2026-08-24T00:00:00.000
392,SRA000392,232,Harbor ServiceRecallActivity 392,1,1,1,2026-08-24T00:00:00.000
393,SRA000393,119,Titan ServiceRecallActivity 393,1,1,1,2026-08-24T00:00:00.000
394,SRA000394,465,Zenith ServiceRecallActivity 394,1,1,1,2026-08-24T00:00:00.000
395,SRA000395,475,Liberty ServiceRecallActivity 395,0,1,1,2026-08-24T00:00:00.000
396,SRA000396,113,Evergreen ServiceRecallActivity 396,1,1,1,2026-08-24T00:00:00.000
397,SRA000397,481,Evergreen ServiceRecallActivity 397,1,1,1,2026-08-24T00:00:00.000
398,SRA000398,158,Pioneer ServiceRecallActivity 398,1,1,1,2026-08-24T00:00:00.000
399,SRA000399,448,Riverton ServiceRecallActivity 399,1,1,1,2026-08-24T00:00:00.000
400,SRA000400,405,Harbor ServiceRecallActivity 400,0,1,1,2026-08-24T00:00:00.000
401,SRA000401,274,Atlas ServiceRecallActivity 401,1,1,1,2026-08-24T00:00:00.000
402,SRA000402,117,Riverton ServiceRecallActivity 402,1,1,1,2026-08-24T00:00:00.000
403,SRA000403,235,Unity ServiceRecallActivity 403,1,1,1,2026-08-24T00:00:00.000
404,SRA000404,260,Summit ServiceRecallActivity 404,1,1,1,2026-08-24T00:00:00.000
405,SRA000405,111,Forge ServiceRecallActivity 405,0,1,1,2026-08-24T00:00:00.000
406,SRA000406,145,Titan ServiceRecallActivity 406,1,1,1,2026-08-24T00:00:00.000
407,SRA000407,314,Liberty ServiceRecallActivity 407,1,1,1,2026-08-24T00:00:00.000
408,SRA000408,208,Northstar ServiceRecallActivity 408,1,1,1,2026-08-24T00:00:00.000
409,SRA000409,64,Atlas ServiceRecallActivity 409,1,1,1,2026-08-24T00:00:00.000
410,SRA000410,408,Keystone ServiceRecallActivity 410,0,1,1,2026-08-24T00:00:00.000
411,SRA000411,72,Orion ServiceRecallActivity 411,1,1,1,2026-08-24T00:00:00.000
412,SRA000412,85,Forge ServiceRecallActivity 412,1,1,1,2026-08-24T00:00:00.000
413,SRA000413,35,Orion ServiceRecallActivity 413,1,1,1,2026-08-24T00:00:00.000
414,SRA000414,305,Atlas ServiceRecallActivity 414,1,1,1,2026-08-24T00:00:00.000
415,SRA000415,426,Junction ServiceRecallActivity 415,0,1,1,2026-08-24T00:00:00.000
416,SRA000416,103,Delta ServiceRecallActivity 416,1,1,1,2026-08-24T00:00:00.000
417,SRA000417,418,Orion ServiceRecallActivity 417,1,1,1,2026-08-24T00:00:00.000
418,SRA000418,12,Zenith ServiceRecallActivity 418,1,1,1,2026-08-24T00:00:00.000
419,SRA000419,469,Northstar ServiceRecallActivity 419,1,1,1,2026-08-24T00:00:00.000
420,SRA000420,242,Delta ServiceRecallActivity 420,0,1,1,2026-08-24T00:00:00.000
421,SRA000421,297,Delta ServiceRecallActivity 421,1,1,1,2026-08-24T00:00:00.000
422,SRA000422,178,Vertex ServiceRecallActivity 422,1,1,1,2026-08-24T00:00:00.000
423,SRA000423,18,Granite ServiceRecallActivity 423,1,1,1,2026-08-24T00:00:00.000
424,SRA000424,250,Unity ServiceRecallActivity 424,1,1,1,2026-08-24T00:00:00.000
425,SRA000425,388,Granite ServiceRecallActivity 425,0,1,1,2026-08-24T00:00:00.000
426,SRA000426,112,Cedar ServiceRecallActivity 426,1,1,1,2026-08-24T00:00:00.000
427,SRA000427,157,Cedar ServiceRecallActivity 427,1,1,1,2026-08-24T00:00:00.000
428,SRA000428,64,Riverton ServiceRecallActivity 428,1,1,1,2026-08-24T00:00:00.000
429,SRA000429,419,Quartz ServiceRecallActivity 429,1,1,1,2026-08-24T00:00:00.000
430,SRA000430,157,Keystone ServiceRecallActivity 430,0,1,1,2026-08-24T00:00:00.000
431,SRA000431,165,Riverton ServiceRecallActivity 431,1,1,1,2026-08-24T00:00:00.000
432,SRA000432,250,Cedar ServiceRecallActivity 432,1,1,1,2026-08-24T00:00:00.000
433,SRA000433,319,Northstar ServiceRecallActivity 433,1,1,1,2026-08-24T00:00:00.000
434,SRA000434,145,Beacon ServiceRecallActivity 434,1,1,1,2026-08-24T00:00:00.000
435,SRA000435,455,Forge ServiceRecallActivity 435,0,1,1,2026-08-24T00:00:00.000
436,SRA000436,337,Liberty ServiceRecallActivity 436,1,1,1,2026-08-24T00:00:00.000
437,SRA000437,310,Vertex ServiceRecallActivity 437,1,1,1,2026-08-24T00:00:00.000
438,SRA000438,114,Titan ServiceRecallActivity 438,1,1,1,2026-08-24T00:00:00.000
439,SRA000439,165,Keystone ServiceRecallActivity 439,1,1,1,2026-08-24T00:00:00.000
440,SRA000440,474,Vertex ServiceRecallActivity 440,0,1,1,2026-08-24T00:00:00.000
441,SRA000441,199,Keystone ServiceRecallActivity 441,1,1,1,2026-08-24T00:00:00.000
442,SRA000442,337,Harbor ServiceRecallActivity 442,1,1,1,2026-08-24T00:00:00.000
443,SRA000443,292,Beacon ServiceRecallActivity 443,1,1,1,2026-08-24T00:00:00.000
444,SRA000444,278,Zenith ServiceRecallActivity 444,1,1,1,2026-08-24T00:00:00.000
445,SRA000445,273,Evergreen ServiceRecallActivity 445,0,1,1,2026-08-24T00:00:00.000
446,SRA000446,22,Riverton ServiceRecallActivity 446,1,1,1,2026-08-24T00:00:00.000
447,SRA000447,436,Cedar ServiceRecallActivity 447,1,1,1,2026-08-24T00:00:00.000
448,SRA000448,173,Zenith ServiceRecallActivity 448,1,1,1,2026-08-24T00:00:00.000
449,SRA000449,33,Junction ServiceRecallActivity 449,1,1,1,2026-08-24T00:00:00.000
450,SRA000450,242,Granite ServiceRecallActivity 450,0,1,1,2026-08-24T00:00:00.000
451,SRA000451,172,Vertex ServiceRecallActivity 451,1,1,1,2026-08-24T00:00:00.000
452,SRA000452,108,Summit ServiceRecallActivity 452,1,1,1,2026-08-24T00:00:00.000
453,SRA000453,211,Orion ServiceRecallActivity 453,1,1,1,2026-08-24T00:00:00.000
454,SRA000454,333,Liberty ServiceRecallActivity 454,1,1,1,2026-08-24T00:00:00.000
455,SRA000455,382,Granite ServiceRecallActivity 455,0,1,1,2026-08-24T00:00:00.000
456,SRA000456,421,Riverton ServiceRecallActivity 456,1,1,1,2026-08-24T00:00:00.000
457,SRA000457,265,Junction ServiceRecallActivity 457,1,1,1,2026-08-24T00:00:00.000
458,SRA000458,192,Forge ServiceRecallActivity 458,1,1,1,2026-08-24T00:00:00.000
459,SRA000459,38,Northstar ServiceRecallActivity 459,1,1,1,2026-08-24T00:00:00.000
460,SRA000460,197,Ion ServiceRecallActivity 460,0,1,1,2026-08-24T00:00:00.000
461,SRA000461,462,Meridian ServiceRecallActivity 461,1,1,1,2026-08-24T00:00:00.000
462,SRA000462,383,Unity ServiceRecallActivity 462,1,1,1,2026-08-24T00:00:00.000
463,SRA000463,229,Meridian ServiceRecallActivity 463,1,1,1,2026-08-24T00:00:00.000
464,SRA000464,298,Unity ServiceRecallActivity 464,1,1,1,2026-08-24T00:00:00.000
465,SRA000465,493,Granite ServiceRecallActivity 465,0,1,1,2026-08-24T00:00:00.000
466,SRA000466,339,Vertex ServiceRecallActivity 466,1,1,1,2026-08-24T00:00:00.000
467,SRA000467,428,Evergreen ServiceRecallActivity 467,1,1,1,2026-08-24T00:00:00.000
468,SRA000468,144,Cedar ServiceRecallActivity 468,1,1,1,2026-08-24T00:00:00.000
469,SRA000469,149,Keystone ServiceRecallActivity 469,1,1,1,2026-08-24T00:00:00.000
470,SRA000470,412,Titan ServiceRecallActivity 470,0,1,1,2026-08-24T00:00:00.000
471,SRA000471,191,Delta ServiceRecallActivity 471,1,1,1,2026-08-24T00:00:00.000
472,SRA000472,300,Atlas ServiceRecallActivity 472,1,1,1,2026-08-24T00:00:00.000
473,SRA000473,462,Evergreen ServiceRecallActivity 473,1,1,1,2026-08-24T00:00:00.000
474,SRA000474,363,Willow ServiceRecallActivity 474,1,1,1,2026-08-24T00:00:00.000
475,SRA000475,59,Titan ServiceRecallActivity 475,0,1,1,2026-08-24T00:00:00.000
476,SRA000476,76,Titan ServiceRecallActivity 476,1,1,1,2026-08-24T00:00:00.000
477,SRA000477,151,Liberty ServiceRecallActivity 477,1,1,1,2026-08-24T00:00:00.000
478,SRA000478,192,Harbor ServiceRecallActivity 478,1,1,1,2026-08-24T00:00:00.000
479,SRA000479,160,Northstar ServiceRecallActivity 479,1,1,1,2026-08-24T00:00:00.000
480,SRA000480,447,Delta ServiceRecallActivity 480,0,1,1,2026-08-24T00:00:00.000
481,SRA000481,469,Ion ServiceRecallActivity 481,1,1,1,2026-08-24T00:00:00.000
482,SRA000482,156,Forge ServiceRecallActivity 482,1,1,1,2026-08-24T00:00:00.000
483,SRA000483,271,Liberty ServiceRecallActivity 483,1,1,1,2026-08-24T00:00:00.000
484,SRA000484,403,Orion ServiceRecallActivity 484,1,1,1,2026-08-24T00:00:00.000
485,SRA000485,411,Pioneer ServiceRecallActivity 485,0,1,1,2026-08-24T00:00:00.000
486,SRA000486,193,Riverton ServiceRecallActivity 486,1,1,1,2026-08-24T00:00:00.000
487,SRA000487,147,Willow ServiceRecallActivity 487,1,1,1,2026-08-24T00:00:00.000
488,SRA000488,497,Orion ServiceRecallActivity 488,1,1,1,2026-08-24T00:00:00.000
489,SRA000489,499,Quartz ServiceRecallActivity 489,1,1,1,2026-08-24T00:00:00.000
490,SRA000490,143,Beacon ServiceRecallActivity 490,0,1,1,2026-08-24T00:00:00.000
491,SRA000491,389,Cedar ServiceRecallActivity 491,1,1,1,2026-08-24T00:00:00.000
492,SRA000492,170,Vertex ServiceRecallActivity 492,1,1,1,2026-08-24T00:00:00.000
493,SRA000493,5,Zenith ServiceRecallActivity 493,1,1,1,2026-08-24T00:00:00.000
494,SRA000494,155,Atlas ServiceRecallActivity 494,1,1,1,2026-08-24T00:00:00.000
495,SRA000495,209,Ion ServiceRecallActivity 495,0,1,1,2026-08-24T00:00:00.000
496,SRA000496,422,Delta ServiceRecallActivity 496,1,1,1,2026-08-24T00:00:00.000
497,SRA000497,364,Titan ServiceRecallActivity 497,1,1,1,2026-08-24T00:00:00.000
498,SRA000498,216,Atlas ServiceRecallActivity 498,1,1,1,2026-08-24T00:00:00.000
499,SRA000499,196,Quartz ServiceRecallActivity 499,1,1,1,2026-08-24T00:00:00.000
500,SRA000500,115,Delta ServiceRecallActivity 500,0,1,1,2026-08-24T00:00:00.000
