ServicePartDispositionKey,ServicePartDispositionCode,TransactionTypeKey,ServicePartDispositionName,RequiresSupplierRecovery,SourceSystemKey,BatchId,LoadedAtUtc
296,SPD000296,1,Titan ServicePartDisposition 296,0,1,1,2026-08-24T00:00:00.000
297,SPD000297,3,Forge ServicePartDisposition 297,1,1,1,2026-08-24T00:00:00.000
298,SPD000298,1,Ion ServicePartDisposition 298,0,1,1,2026-08-24T00:00:00.000
299,SPD000299,3,Titan ServicePartDisposition 299,1,1,1,2026-08-24T00:00:00.000
300,SPD000300,2,Delta ServicePartDisposition 300,0,1,1,2026-08-24T00:00:00.000
301,SPD000301,1,Pioneer ServicePartDisposition 301,1,1,1,2026-08-24T00:00:00.000
302,SPD000302,4,Cedar ServicePartDisposition 302,0,1,1,2026-08-24T00:00:00.000
303,SPD000303,3,Orion ServicePartDisposition 303,1,1,1,2026-08-24T00:00:00.000
304,SPD000304,1,Cedar ServicePartDisposition 304,0,1,1,2026-08-24T00:00:00.000
305,SPD000305,2,Granite ServicePartDisposition 305,1,1,1,2026-08-24T00:00:00.000
306,SPD000306,2,Delta ServicePartDisposition 306,0,1,1,2026-08-24T00:00:00.000
307,SPD000307,3,Delta ServicePartDisposition 307,1,1,1,2026-08-24T00:00:00.000
308,SPD000308,3,Evergreen ServicePartDisposition 308,0,1,1,2026-08-24T00:00:00.000
309,SPD000309,2,Quartz ServicePartDisposition 309,1,1,1,2026-08-24T00:00:00.000
310,SPD000310,2,Orion ServicePartDisposition 310,0,1,1,2026-08-24T00:00:00.000
311,SPD000311,1,Titan ServicePartDisposition 311,1,1,1,2026-08-24T00:00:00.000
312,SPD000312,1,Titan ServicePartDisposition 312,0,1,1,2026-08-24T00:00:00.000
313,SPD000313,3,Orion ServicePartDisposition 313,1,1,1,2026-08-24T00:00:00.000
314,SPD000314,4,Beacon ServicePartDisposition 314,0,1,1,2026-08-24T00:00:00.000
315,SPD000315,2,Northstar ServicePartDisposition 315,1,1,1,2026-08-24T00:00:00.000
316,SPD000316,4,Northstar ServicePartDisposition 316,0,1,1,2026-08-24T00:00:00.000
317,SPD000317,4,Ion ServicePartDisposition 317,1,1,1,2026-08-24T00:00:00.000
318,SPD000318,2,Zenith ServicePartDisposition 318,0,1,1,2026-08-24T00:00:00.000
319,SPD000319,2,Atlas ServicePartDisposition 319,1,1,1,2026-08-24T00:00:00.000
320,SPD000320,4,Willow ServicePartDisposition 320,0,1,1,2026-08-24T00:00:00.000
321,SPD000321,3,Liberty ServicePartDisposition 321,1,1,1,2026-08-24T00:00:00.000
322,SPD000322,4,Titan ServicePartDisposition 322,0,1,1,2026-08-24T00:00:00.000
323,SPD000323,3,Atlas ServicePartDisposition 323,1,1,1,2026-08-24T00:00:00.000
324,SPD000324,2,Ion ServicePartDisposition 324,0,1,1,2026-08-24T00:00:00.000
325,SPD000325,2,Delta ServicePartDisposition 325,1,1,1,2026-08-24T00:00:00.000
326,SPD000326,3,Northstar ServicePartDisposition 326,0,1,1,2026-08-24T00:00:00.000
327,SPD000327,3,Beacon ServicePartDisposition 327,1,1,1,2026-08-24T00:00:00.000
328,SPD000328,2,Pioneer ServicePartDisposition 328,0,1,1,2026-08-24T00:00:00.000
329,SPD000329,4,Pioneer ServicePartDisposition 329,1,1,1,2026-08-24T00:00:00.000
330,SPD000330,1,Meridian ServicePartDisposition 330,0,1,1,2026-08-24T00:00:00.000
331,SPD000331,1,Atlas ServicePartDisposition 331,1,1,1,2026-08-24T00:00:00.000
332,SPD000332,2,Zenith ServicePartDisposition 332,0,1,1,2026-08-24T00:00:00.000
333,SPD000333,4,Atlas ServicePartDisposition 333,1,1,1,2026-08-24T00:00:00.000
334,SPD000334,2,Atlas ServicePartDisposition 334,0,1,1,2026-08-24T00:00:00.000
335,SPD000335,1,Liberty ServicePartDisposition 335,1,1,1,2026-08-24T00:00:00.000
336,SPD000336,2,Junction ServicePartDisposition 336,0,1,1,2026-08-24T00:00:00.000
337,SPD000337,4,Cedar ServicePartDisposition 337,1,1,1,2026-08-24T00:00:00.000
338,SPD000338,2,Unity ServicePartDisposition 338,0,1,1,2026-08-24T00:00:00.000
339,SPD000339,4,Evergreen ServicePartDisposition 339,1,1,1,2026-08-24T00:00:00.000
340,SPD000340,1,Quartz ServicePartDisposition 340,0,1,1,2026-08-24T00:00:00.000
341,SPD000341,1,Keystone ServicePartDisposition 341,1,1,1,2026-08-24T00:00:00.000
342,SPD000342,1,Ion ServicePartDisposition 342,0,1,1,2026-08-24T00:00:00.000
343,SPD000343,2,Harbor ServicePartDisposition 343,1,1,1,2026-08-24T00:00:00.000
344,SPD000344,2,Atlas ServicePartDisposition 344,0,1,1,2026-08-24T00:00:00.000
345,SPD000345,3,Northstar ServicePartDisposition 345,1,1,1,2026-08-24T00:00:00.000
346,SPD000346,4,Vertex ServicePartDisposition 346,0,1,1,2026-08-24T00:00:00.000
347,SPD000347,2,Meridian ServicePartDisposition 347,1,1,1,2026-08-24T00:00:00.000
348,SPD000348,1,Beacon ServicePartDisposition 348,0,1,1,2026-08-24T00:00:00.000
349,SPD000349,1,Zenith ServicePartDisposition 349,1,1,1,2026-08-24T00:00:00.000
350,SPD000350,4,Zenith ServicePartDisposition 350,0,1,1,2026-08-24T00:00:00.000
351,SPD000351,2,Pioneer ServicePartDisposition 351,1,1,1,2026-08-24T00:00:00.000
352,SPD000352,2,Keystone ServicePartDisposition 352,0,1,1,2026-08-24T00:00:00.000
353,SPD000353,3,Cedar ServicePartDisposition 353,1,1,1,2026-08-24T00:00:00.000
354,SPD000354,3,Unity ServicePartDisposition 354,0,1,1,2026-08-24T00:00:00.000
355,SPD000355,1,Summit ServicePartDisposition 355,1,1,1,2026-08-24T00:00:00.000
356,SPD000356,4,Zenith ServicePartDisposition 356,0,1,1,2026-08-24T00:00:00.000
357,SPD000357,2,Cedar ServicePartDisposition 357,1,1,1,2026-08-24T00:00:00.000
358,SPD000358,2,Cedar ServicePartDisposition 358,0,1,1,2026-08-24T00:00:00.000
359,SPD000359,4,Zenith ServicePartDisposition 359,1,1,1,2026-08-24T00:00:00.000
360,SPD000360,2,Granite ServicePartDisposition 360,0,1,1,2026-08-24T00:00:00.000
361,SPD000361,2,Riverton ServicePartDisposition 361,1,1,1,2026-08-24T00:00:00.000
362,SPD000362,1,Delta ServicePartDisposition 362,0,1,1,2026-08-24T00:00:00.000
363,SPD000363,4,Granite ServicePartDisposition 363,1,1,1,2026-08-24T00:00:00.000
364,SPD000364,3,Forge ServicePartDisposition 364,0,1,1,2026-08-24T00:00:00.000
365,SPD000365,1,Beacon ServicePartDisposition 365,1,1,1,2026-08-24T00:00:00.000
366,SPD000366,4,Cedar ServicePartDisposition 366,0,1,1,2026-08-24T00:00:00.000
367,SPD000367,3,Atlas ServicePartDisposition 367,1,1,1,2026-08-24T00:00:00.000
368,SPD000368,2,Titan ServicePartDisposition 368,0,1,1,2026-08-24T00:00:00.000
369,SPD000369,2,Liberty ServicePartDisposition 369,1,1,1,2026-08-24T00:00:00.000
370,SPD000370,1,Atlas ServicePartDisposition 370,0,1,1,2026-08-24T00:00:00.000
371,SPD000371,3,Summit ServicePartDisposition 371,1,1,1,2026-08-24T00:00:00.000
372,SPD000372,1,Unity ServicePartDisposition 372,0,1,1,2026-08-24T00:00:00.000
373,SPD000373,2,Delta ServicePartDisposition 373,1,1,1,2026-08-24T00:00:00.000
374,SPD000374,1,Titan ServicePartDisposition 374,0,1,1,2026-08-24T00:00:00.000
375,SPD000375,2,Atlas ServicePartDisposition 375,1,1,1,2026-08-24T00:00:00.000
376,SPD000376,1,Delta ServicePartDisposition 376,0,1,1,2026-08-24T00:00:00.000
377,SPD000377,2,Willow ServicePartDisposition 377,1,1,1,2026-08-24T00:00:00.000
378,SPD000378,3,Granite ServicePartDisposition 378,0,1,1,2026-08-24T00:00:00.000
379,SPD000379,2,Riverton ServicePartDisposition 379,1,1,1,2026-08-24T00:00:00.000
380,SPD000380,1,Orion ServicePartDisposition 380,0,1,1,2026-08-24T00:00:00.000
381,SPD000381,2,Orion ServicePartDisposition 381,1,1,1,2026-08-24T00:00:00.000
382,SPD000382,1,Cedar ServicePartDisposition 382,0,1,1,2026-08-24T00:00:00.000
383,SPD000383,4,Unity ServicePartDisposition 383,1,1,1,2026-08-24T00:00:00.000
384,SPD000384,1,Keystone ServicePartDisposition 384,0,1,1,2026-08-24T00:00:00.000
385,SPD000385,1,Vertex ServicePartDisposition 385,1,1,1,2026-08-24T00:00:00.000
386,SPD000386,2,Meridian ServicePartDisposition 386,0,1,1,2026-08-24T00:00:00.000
387,SPD000387,3,Orion ServicePartDisposition 387,1,1,1,2026-08-24T00:00:00.000
388,SPD000388,1,Summit ServicePartDisposition 388,0,1,1,2026-08-24T00:00:00.000
389,SPD000389,2,Northstar ServicePartDisposition 389,1,1,1,2026-08-24T00:00:00.000
390,SPD000390,1,Meridian ServicePartDisposition 390,0,1,1,2026-08-24T00:00:00.000
391,SPD000391,4,Willow ServicePartDisposition 391,1,1,1,2026-08-24T00:00:00.000
392,SPD000392,3,Beacon ServicePartDisposition 392,0,1,1,2026-08-24T00:00:00.000
393,SPD000393,2,Orion ServicePartDisposition 393,1,1,1,2026-08-24T00:00:00.000
394,SPD000394,4,Granite ServicePartDisposition 394,0,1,1,2026-08-24T00:00:00.000
395,SPD000395,2,Forge ServicePartDisposition 395,1,1,1,2026-08-24T00:00:00.000
396,SPD000396,4,Zenith ServicePartDisposition 396,0,1,1,2026-08-24T00:00:00.000
397,SPD000397,4,Titan ServicePartDisposition 397,1,1,1,2026-08-24T00:00:00.000
398,SPD000398,2,Pioneer ServicePartDisposition 398,0,1,1,2026-08-24T00:00:00.000
399,SPD000399,2,Cedar ServicePartDisposition 399,1,1,1,2026-08-24T00:00:00.000
400,SPD000400,3,Granite ServicePartDisposition 400,0,1,1,2026-08-24T00:00:00.000
401,SPD000401,3,Cedar ServicePartDisposition 401,1,1,1,2026-08-24T00:00:00.000
402,SPD000402,2,Zenith ServicePartDisposition 402,0,1,1,2026-08-24T00:00:00.000
403,SPD000403,2,Cedar ServicePartDisposition 403,1,1,1,2026-08-24T00:00:00.000
404,SPD000404,4,Liberty ServicePartDisposition 404,0,1,1,2026-08-24T00:00:00.000
405,SPD000405,4,Willow ServicePartDisposition 405,1,1,1,2026-08-24T00:00:00.000
406,SPD000406,4,Liberty ServicePartDisposition 406,0,1,1,2026-08-24T00:00:00.000
407,SPD000407,1,Pioneer ServicePartDisposition 407,1,1,1,2026-08-24T00:00:00.000
408,SPD000408,1,Junction ServicePartDisposition 408,0,1,1,2026-08-24T00:00:00.000
409,SPD000409,2,Ion ServicePartDisposition 409,1,1,1,2026-08-24T00:00:00.000
410,SPD000410,1,Ion ServicePartDisposition 410,0,1,1,2026-08-24T00:00:00.000
411,SPD000411,2,Granite ServicePartDisposition 411,1,1,1,2026-08-24T00:00:00.000
412,SPD000412,4,Delta ServicePartDisposition 412,0,1,1,2026-08-24T00:00:00.000
413,SPD000413,4,Quartz ServicePartDisposition 413,1,1,1,2026-08-24T00:00:00.000
414,SPD000414,3,Pioneer ServicePartDisposition 414,0,1,1,2026-08-24T00:00:00.000
415,SPD000415,2,Atlas ServicePartDisposition 415,1,1,1,2026-08-24T00:00:00.000
416,SPD000416,3,Junction ServicePartDisposition 416,0,1,1,2026-08-24T00:00:00.000
417,SPD000417,2,Harbor ServicePartDisposition 417,1,1,1,2026-08-24T00:00:00.000
418,SPD000418,2,Pioneer ServicePartDisposition 418,0,1,1,2026-08-24T00:00:00.000
419,SPD000419,4,Ion ServicePartDisposition 419,1,1,1,2026-08-24T00:00:00.000
420,SPD000420,3,Forge ServicePartDisposition 420,0,1,1,2026-08-24T00:00:00.000
421,SPD000421,1,Forge ServicePartDisposition 421,1,1,1,2026-08-24T00:00:00.000
422,SPD000422,1,Riverton ServicePartDisposition 422,0,1,1,2026-08-24T00:00:00.000
423,SPD000423,4,Titan ServicePartDisposition 423,1,1,1,2026-08-24T00:00:00.000
424,SPD000424,1,Cedar ServicePartDisposition 424,0,1,1,2026-08-24T00:00:00.000
425,SPD000425,2,Keystone ServicePartDisposition 425,1,1,1,2026-08-24T00:00:00.000
426,SPD000426,4,Junction ServicePartDisposition 426,0,1,1,2026-08-24T00:00:00.000
427,SPD000427,4,Junction ServicePartDisposition 427,1,1,1,2026-08-24T00:00:00.000
428,SPD000428,1,Quartz ServicePartDisposition 428,0,1,1,2026-08-24T00:00:00.000
429,SPD000429,4,Northstar ServicePartDisposition 429,1,1,1,2026-08-24T00:00:00.000
430,SPD000430,4,Keystone ServicePartDisposition 430,0,1,1,2026-08-24T00:00:00.000
431,SPD000431,4,Summit ServicePartDisposition 431,1,1,1,2026-08-24T00:00:00.000
432,SPD000432,3,Beacon ServicePartDisposition 432,0,1,1,2026-08-24T00:00:00.000
433,SPD000433,4,Northstar ServicePartDisposition 433,1,1,1,2026-08-24T00:00:00.000
434,SPD000434,4,Atlas ServicePartDisposition 434,0,1,1,2026-08-24T00:00:00.000
435,SPD000435,1,Granite ServicePartDisposition 435,1,1,1,2026-08-24T00:00:00.000
436,SPD000436,1,Evergreen ServicePartDisposition 436,0,1,1,2026-08-24T00:00:00.000
437,SPD000437,4,Summit ServicePartDisposition 437,1,1,1,2026-08-24T00:00:00.000
438,SPD000438,4,Ion ServicePartDisposition 438,0,1,1,2026-08-24T00:00:00.000
439,SPD000439,2,Unity ServicePartDisposition 439,1,1,1,2026-08-24T00:00:00.000
440,SPD000440,2,Granite ServicePartDisposition 440,0,1,1,2026-08-24T00:00:00.000
441,SPD000441,3,Ion ServicePartDisposition 441,1,1,1,2026-08-24T00:00:00.000
442,SPD000442,2,Delta ServicePartDisposition 442,0,1,1,2026-08-24T00:00:00.000
443,SPD000443,4,Orion ServicePartDisposition 443,1,1,1,2026-08-24T00:00:00.000
444,SPD000444,1,Northstar ServicePartDisposition 444,0,1,1,2026-08-24T00:00:00.000
445,SPD000445,1,Atlas ServicePartDisposition 445,1,1,1,2026-08-24T00:00:00.000
446,SPD000446,3,Granite ServicePartDisposition 446,0,1,1,2026-08-24T00:00:00.000
447,SPD000447,1,Cedar ServicePartDisposition 447,1,1,1,2026-08-24T00:00:00.000
448,SPD000448,2,Cedar ServicePartDisposition 448,0,1,1,2026-08-24T00:00:00.000
449,SPD000449,2,Ion ServicePartDisposition 449,1,1,1,2026-08-24T00:00:00.000
450,SPD000450,4,Titan ServicePartDisposition 450,0,1,1,2026-08-24T00:00:00.000
451,SPD000451,4,Forge ServicePartDisposition 451,1,1,1,2026-08-24T00:00:00.000
452,SPD000452,1,Atlas ServicePartDisposition 452,0,1,1,2026-08-24T00:00:00.000
453,SPD000453,2,Titan ServicePartDisposition 453,1,1,1,2026-08-24T00:00:00.000
454,SPD000454,1,Liberty ServicePartDisposition 454,0,1,1,2026-08-24T00:00:00.000
455,SPD000455,4,Atlas ServicePartDisposition 455,1,1,1,2026-08-24T00:00:00.000
456,SPD000456,4,Harbor ServicePartDisposition 456,0,1,1,2026-08-24T00:00:00.000
457,SPD000457,2,Atlas ServicePartDisposition 457,1,1,1,2026-08-24T00:00:00.000
458,SPD000458,3,Evergreen ServicePartDisposition 458,0,1,1,2026-08-24T00:00:00.000
459,SPD000459,4,Granite ServicePartDisposition 459,1,1,1,2026-08-24T00:00:00.000
460,SPD000460,3,Atlas ServicePartDisposition 460,0,1,1,2026-08-24T00:00:00.000
461,SPD000461,3,Evergreen ServicePartDisposition 461,1,1,1,2026-08-24T00:00:00.000
462,SPD000462,2,Keystone ServicePartDisposition 462,0,1,1,2026-08-24T00:00:00.000
463,SPD000463,1,Cedar ServicePartDisposition 463,1,1,1,2026-08-24T00:00:00.000
464,SPD000464,4,Granite ServicePartDisposition 464,0,1,1,2026-08-24T00:00:00.000
465,SPD000465,3,Meridian ServicePartDisposition 465,1,1,1,2026-08-24T00:00:00.000
466,SPD000466,4,Evergreen ServicePartDisposition 466,0,1,1,2026-08-24T00:00:00.000
467,SPD000467,3,Meridian ServicePartDisposition 467,1,1,1,2026-08-24T00:00:00.000
468,SPD000468,4,Keystone ServicePartDisposition 468,0,1,1,2026-08-24T00:00:00.000
469,SPD000469,2,Forge ServicePartDisposition 469,1,1,1,2026-08-24T00:00:00.000
470,SPD000470,2,Delta ServicePartDisposition 470,0,1,1,2026-08-24T00:00:00.000
471,SPD000471,3,Granite ServicePartDisposition 471,1,1,1,2026-08-24T00:00:00.000
472,SPD000472,1,Granite ServicePartDisposition 472,0,1,1,2026-08-24T00:00:00.000
473,SPD000473,1,Beacon ServicePartDisposition 473,1,1,1,2026-08-24T00:00:00.000
474,SPD000474,1,Cedar ServicePartDisposition 474,0,1,1,2026-08-24T00:00:00.000
475,SPD000475,4,Willow ServicePartDisposition 475,1,1,1,2026-08-24T00:00:00.000
476,SPD000476,1,Granite ServicePartDisposition 476,0,1,1,2026-08-24T00:00:00.000
477,SPD000477,1,Cedar ServicePartDisposition 477,1,1,1,2026-08-24T00:00:00.000
478,SPD000478,4,Vertex ServicePartDisposition 478,0,1,1,2026-08-24T00:00:00.000
479,SPD000479,2,Delta ServicePartDisposition 479,1,1,1,2026-08-24T00:00:00.000
480,SPD000480,3,Titan ServicePartDisposition 480,0,1,1,2026-08-24T00:00:00.000
481,SPD000481,1,Meridian ServicePartDisposition 481,1,1,1,2026-08-24T00:00:00.000
482,SPD000482,3,Titan ServicePartDisposition 482,0,1,1,2026-08-24T00:00:00.000
483,SPD000483,3,Titan ServicePartDisposition 483,1,1,1,2026-08-24T00:00:00.000
484,SPD000484,4,Atlas ServicePartDisposition 484,0,1,1,2026-08-24T00:00:00.000
485,SPD000485,3,Vertex ServicePartDisposition 485,1,1,1,2026-08-24T00:00:00.000
486,SPD000486,4,Cedar ServicePartDisposition 486,0,1,1,2026-08-24T00:00:00.000
487,SPD000487,4,Orion ServicePartDisposition 487,1,1,1,2026-08-24T00:00:00.000
488,SPD000488,2,Vertex ServicePartDisposition 488,0,1,1,2026-08-24T00:00:00.000
489,SPD000489,3,Quartz ServicePartDisposition 489,1,1,1,2026-08-24T00:00:00.000
490,SPD000490,2,Liberty ServicePartDisposition 490,0,1,1,2026-08-24T00:00:00.000
491,SPD000491,4,Willow ServicePartDisposition 491,1,1,1,2026-08-24T00:00:00.000
492,SPD000492,4,Summit ServicePartDisposition 492,0,1,1,2026-08-24T00:00:00.000
493,SPD000493,2,Pioneer ServicePartDisposition 493,1,1,1,2026-08-24T00:00:00.000
494,SPD000494,1,Riverton ServicePartDisposition 494,0,1,1,2026-08-24T00:00:00.000
495,SPD000495,2,Harbor ServicePartDisposition 495,1,1,1,2026-08-24T00:00:00.000
496,SPD000496,2,Orion ServicePartDisposition 496,0,1,1,2026-08-24T00:00:00.000
497,SPD000497,3,Titan ServicePartDisposition 497,1,1,1,2026-08-24T00:00:00.000
498,SPD000498,3,Pioneer ServicePartDisposition 498,0,1,1,2026-08-24T00:00:00.000
499,SPD000499,1,Northstar ServicePartDisposition 499,1,1,1,2026-08-24T00:00:00.000
500,SPD000500,3,Riverton ServicePartDisposition 500,0,1,1,2026-08-24T00:00:00.000
