ProductionScheduleSegmentKey,ProductionScheduleSegmentCode,ProductionScheduleFamilyKey,ProductionScheduleSegmentName,SourceSystemKey,BatchId,LoadedAtUtc
296,PSS000296,42,Forge ProductionScheduleSegment 296,1,1,2026-08-24T00:00:00.000
297,PSS000297,27,Keystone ProductionScheduleSegment 297,1,1,2026-08-24T00:00:00.000
298,PSS000298,81,Delta ProductionScheduleSegment 298,1,1,2026-08-24T00:00:00.000
299,PSS000299,75,Willow ProductionScheduleSegment 299,1,1,2026-08-24T00:00:00.000
300,PSS000300,3,Evergreen ProductionScheduleSegment 300,1,1,2026-08-24T00:00:00.000
301,PSS000301,73,Delta ProductionScheduleSegment 301,1,1,2026-08-24T00:00:00.000
302,PSS000302,38,Forge ProductionScheduleSegment 302,1,1,2026-08-24T00:00:00.000
303,PSS000303,38,Titan ProductionScheduleSegment 303,1,1,2026-08-24T00:00:00.000
304,PSS000304,26,Riverton ProductionScheduleSegment 304,1,1,2026-08-24T00:00:00.000
305,PSS000305,80,Summit ProductionScheduleSegment 305,1,1,2026-08-24T00:00:00.000
306,PSS000306,63,Pioneer ProductionScheduleSegment 306,1,1,2026-08-24T00:00:00.000
307,PSS000307,77,Quartz ProductionScheduleSegment 307,1,1,2026-08-24T00:00:00.000
308,PSS000308,5,Beacon ProductionScheduleSegment 308,1,1,2026-08-24T00:00:00.000
309,PSS000309,11,Keystone ProductionScheduleSegment 309,1,1,2026-08-24T00:00:00.000
310,PSS000310,49,Willow ProductionScheduleSegment 310,1,1,2026-08-24T00:00:00.000
311,PSS000311,46,Northstar ProductionScheduleSegment 311,1,1,2026-08-24T00:00:00.000
312,PSS000312,36,Liberty ProductionScheduleSegment 312,1,1,2026-08-24T00:00:00.000
313,PSS000313,70,Granite ProductionScheduleSegment 313,1,1,2026-08-24T00:00:00.000
314,PSS000314,72,Beacon ProductionScheduleSegment 314,1,1,2026-08-24T00:00:00.000
315,PSS000315,90,Beacon ProductionScheduleSegment 315,1,1,2026-08-24T00:00:00.000
316,PSS000316,77,Evergreen ProductionScheduleSegment 316,1,1,2026-08-24T00:00:00.000
317,PSS000317,34,Riverton ProductionScheduleSegment 317,1,1,2026-08-24T00:00:00.000
318,PSS000318,82,Willow ProductionScheduleSegment 318,1,1,2026-08-24T00:00:00.000
319,PSS000319,58,Atlas ProductionScheduleSegment 319,1,1,2026-08-24T00:00:00.000
320,PSS000320,16,Meridian ProductionScheduleSegment 320,1,1,2026-08-24T00:00:00.000
321,PSS000321,40,Orion ProductionScheduleSegment 321,1,1,2026-08-24T00:00:00.000
322,PSS000322,40,Pioneer ProductionScheduleSegment 322,1,1,2026-08-24T00:00:00.000
323,PSS000323,20,Junction ProductionScheduleSegment 323,1,1,2026-08-24T00:00:00.000
324,PSS000324,26,Cedar ProductionScheduleSegment 324,1,1,2026-08-24T00:00:00.000
325,PSS000325,44,Granite ProductionScheduleSegment 325,1,1,2026-08-24T00:00:00.000
326,PSS000326,35,Pioneer ProductionScheduleSegment 326,1,1,2026-08-24T00:00:00.000
327,PSS000327,27,Forge ProductionScheduleSegment 327,1,1,2026-08-24T00:00:00.000
328,PSS000328,76,Vertex ProductionScheduleSegment 328,1,1,2026-08-24T00:00:00.000
329,PSS000329,63,Meridian ProductionScheduleSegment 329,1,1,2026-08-24T00:00:00.000
330,PSS000330,18,Beacon ProductionScheduleSegment 330,1,1,2026-08-24T00:00:00.000
331,PSS000331,15,Junction ProductionScheduleSegment 331,1,1,2026-08-24T00:00:00.000
332,PSS000332,64,Delta ProductionScheduleSegment 332,1,1,2026-08-24T00:00:00.000
333,PSS000333,21,Keystone ProductionScheduleSegment 333,1,1,2026-08-24T00:00:00.000
334,PSS000334,35,Summit ProductionScheduleSegment 334,1,1,2026-08-24T00:00:00.000
335,PSS000335,5,Northstar ProductionScheduleSegment 335,1,1,2026-08-24T00:00:00.000
336,PSS000336,3,Titan ProductionScheduleSegment 336,1,1,2026-08-24T00:00:00.000
337,PSS000337,60,Ion ProductionScheduleSegment 337,1,1,2026-08-24T00:00:00.000
338,PSS000338,21,Titan ProductionScheduleSegment 338,1,1,2026-08-24T00:00:00.000
339,PSS000339,73,Evergreen ProductionScheduleSegment 339,1,1,2026-08-24T00:00:00.000
340,PSS000340,89,Granite ProductionScheduleSegment 340,1,1,2026-08-24T00:00:00.000
341,PSS000341,65,Vertex ProductionScheduleSegment 341,1,1,2026-08-24T00:00:00.000
342,PSS000342,63,Northstar ProductionScheduleSegment 342,1,1,2026-08-24T00:00:00.000
343,PSS000343,58,Keystone ProductionScheduleSegment 343,1,1,2026-08-24T00:00:00.000
344,PSS000344,72,Northstar ProductionScheduleSegment 344,1,1,2026-08-24T00:00:00.000
345,PSS000345,2,Harbor ProductionScheduleSegment 345,1,1,2026-08-24T00:00:00.000
346,PSS000346,11,Forge ProductionScheduleSegment 346,1,1,2026-08-24T00:00:00.000
347,PSS000347,9,Meridian ProductionScheduleSegment 347,1,1,2026-08-24T00:00:00.000
348,PSS000348,52,Forge ProductionScheduleSegment 348,1,1,2026-08-24T00:00:00.000
349,PSS000349,40,Harbor ProductionScheduleSegment 349,1,1,2026-08-24T00:00:00.000
350,PSS000350,64,Riverton ProductionScheduleSegment 350,1,1,2026-08-24T00:00:00.000
351,PSS000351,68,Willow ProductionScheduleSegment 351,1,1,2026-08-24T00:00:00.000
352,PSS000352,63,Granite ProductionScheduleSegment 352,1,1,2026-08-24T00:00:00.000
353,PSS000353,17,Zenith ProductionScheduleSegment 353,1,1,2026-08-24T00:00:00.000
354,PSS000354,37,Vertex ProductionScheduleSegment 354,1,1,2026-08-24T00:00:00.000
355,PSS000355,58,Zenith ProductionScheduleSegment 355,1,1,2026-08-24T00:00:00.000
356,PSS000356,51,Vertex ProductionScheduleSegment 356,1,1,2026-08-24T00:00:00.000
357,PSS000357,67,Quartz ProductionScheduleSegment 357,1,1,2026-08-24T00:00:00.000
358,PSS000358,57,Ion ProductionScheduleSegment 358,1,1,2026-08-24T00:00:00.000
359,PSS000359,35,Ion ProductionScheduleSegment 359,1,1,2026-08-24T00:00:00.000
360,PSS000360,57,Forge ProductionScheduleSegment 360,1,1,2026-08-24T00:00:00.000
361,PSS000361,49,Granite ProductionScheduleSegment 361,1,1,2026-08-24T00:00:00.000
362,PSS000362,88,Quartz ProductionScheduleSegment 362,1,1,2026-08-24T00:00:00.000
363,PSS000363,15,Forge ProductionScheduleSegment 363,1,1,2026-08-24T00:00:00.000
364,PSS000364,43,Atlas ProductionScheduleSegment 364,1,1,2026-08-24T00:00:00.000
365,PSS000365,17,Summit ProductionScheduleSegment 365,1,1,2026-08-24T00:00:00.000
366,PSS000366,54,Ion ProductionScheduleSegment 366,1,1,2026-08-24T00:00:00.000
367,PSS000367,6,Liberty ProductionScheduleSegment 367,1,1,2026-08-24T00:00:00.000
368,PSS000368,84,Meridian ProductionScheduleSegment 368,1,1,2026-08-24T00:00:00.000
369,PSS000369,43,Cedar ProductionScheduleSegment 369,1,1,2026-08-24T00:00:00.000
370,PSS000370,47,Cedar ProductionScheduleSegment 370,1,1,2026-08-24T00:00:00.000
371,PSS000371,22,Evergreen ProductionScheduleSegment 371,1,1,2026-08-24T00:00:00.000
372,PSS000372,89,Meridian ProductionScheduleSegment 372,1,1,2026-08-24T00:00:00.000
373,PSS000373,10,Unity ProductionScheduleSegment 373,1,1,2026-08-24T00:00:00.000
374,PSS000374,1,Meridian ProductionScheduleSegment 374,1,1,2026-08-24T00:00:00.000
375,PSS000375,17,Willow ProductionScheduleSegment 375,1,1,2026-08-24T00:00:00.000
376,PSS000376,90,Zenith ProductionScheduleSegment 376,1,1,2026-08-24T00:00:00.000
377,PSS000377,33,Quartz ProductionScheduleSegment 377,1,1,2026-08-24T00:00:00.000
378,PSS000378,77,Titan ProductionScheduleSegment 378,1,1,2026-08-24T00:00:00.000
379,PSS000379,14,Delta ProductionScheduleSegment 379,1,1,2026-08-24T00:00:00.000
380,PSS000380,62,Pioneer ProductionScheduleSegment 380,1,1,2026-08-24T00:00:00.000
381,PSS000381,69,Ion ProductionScheduleSegment 381,1,1,2026-08-24T00:00:00.000
382,PSS000382,20,Beacon ProductionScheduleSegment 382,1,1,2026-08-24T00:00:00.000
383,PSS000383,76,Keystone ProductionScheduleSegment 383,1,1,2026-08-24T00:00:00.000
384,PSS000384,21,Junction ProductionScheduleSegment 384,1,1,2026-08-24T00:00:00.000
385,PSS000385,24,Meridian ProductionScheduleSegment 385,1,1,2026-08-24T00:00:00.000
386,PSS000386,32,Unity ProductionScheduleSegment 386,1,1,2026-08-24T00:00:00.000
387,PSS000387,41,Northstar ProductionScheduleSegment 387,1,1,2026-08-24T00:00:00.000
388,PSS000388,74,Zenith ProductionScheduleSegment 388,1,1,2026-08-24T00:00:00.000
389,PSS000389,27,Orion ProductionScheduleSegment 389,1,1,2026-08-24T00:00:00.000
390,PSS000390,76,Granite ProductionScheduleSegment 390,1,1,2026-08-24T00:00:00.000
391,PSS000391,23,Liberty ProductionScheduleSegment 391,1,1,2026-08-24T00:00:00.000
392,PSS000392,63,Granite ProductionScheduleSegment 392,1,1,2026-08-24T00:00:00.000
393,PSS000393,38,Meridian ProductionScheduleSegment 393,1,1,2026-08-24T00:00:00.000
394,PSS000394,29,Northstar ProductionScheduleSegment 394,1,1,2026-08-24T00:00:00.000
395,PSS000395,43,Pioneer ProductionScheduleSegment 395,1,1,2026-08-24T00:00:00.000
396,PSS000396,48,Junction ProductionScheduleSegment 396,1,1,2026-08-24T00:00:00.000
397,PSS000397,13,Willow ProductionScheduleSegment 397,1,1,2026-08-24T00:00:00.000
398,PSS000398,34,Pioneer ProductionScheduleSegment 398,1,1,2026-08-24T00:00:00.000
399,PSS000399,33,Summit ProductionScheduleSegment 399,1,1,2026-08-24T00:00:00.000
400,PSS000400,43,Cedar ProductionScheduleSegment 400,1,1,2026-08-24T00:00:00.000
