InventorySafetyStockPolicyKey,SafetyStockPolicyCode,ProductKey,PlantKey,InventoryPolicySegmentKey,InventoryAbcClassKey,UnitOfMeasureKey,MinimumQuantity,MaximumQuantity,ReorderPointQuantity,ReviewCycleDays,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
106,ISSP000106,223,193,417,3,3,74.3000,74.3000,74.3000,23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4209e7a8205c54afad57822a9408d4c54209e7a8205c54afad57822a9408d4c5
107,ISSP000107,325,44,129,2,5,75.0000,75.0000,75.0000,24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d5e4de1efc35ebc8d2199c4c918646e6d5e4de1efc35ebc8d2199c4c918646e
108,ISSP000108,418,204,345,1,6,75.7000,75.7000,75.7000,25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f96c934752b1572baffd79ab9114850af96c934752b1572baffd79ab9114850a
109,ISSP000109,338,3,146,4,2,76.4000,76.4000,76.4000,26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de92bc52e16454389fdf71f2dff62b69de92bc52e16454389fdf71f2dff62b69
110,ISSP000110,392,313,326,3,1,77.1000,77.1000,77.1000,27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,86f4ce1e52e552a4ba529408204b589386f4ce1e52e552a4ba529408204b5893
111,ISSP000111,223,122,479,2,2,77.8000,77.8000,77.8000,28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b81ab147ecb5d7f81e437a6097b19fb3b81ab147ecb5d7f81e437a6097b19fb
112,ISSP000112,423,121,332,2,5,78.5000,78.5000,78.5000,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,32090b1ab0fe5bd6b4ad5d4dd47cd15c32090b1ab0fe5bd6b4ad5d4dd47cd15c
113,ISSP000113,38,107,77,1,5,79.2000,79.2000,79.2000,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3acc70b57fbf57929228a900fd062ec33acc70b57fbf57929228a900fd062ec3
114,ISSP000114,96,169,125,2,5,79.9000,79.9000,79.9000,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0858079fc4b5d74b6c98d5c36b541cad0858079fc4b5d74b6c98d5c36b541ca
115,ISSP000115,251,119,91,4,4,80.6000,80.6000,80.6000,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,778853bed9e652d0b5612e5705e78c0d778853bed9e652d0b5612e5705e78c0d
116,ISSP000116,378,311,153,5,7,81.3000,81.3000,81.3000,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bd9aaad2c425f3e8f527cc636bc0e4d3bd9aaad2c425f3e8f527cc636bc0e4d
117,ISSP000117,415,200,46,1,6,82.0000,82.0000,82.0000,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6335c3b8f505797a593ab21142e6d37b6335c3b8f505797a593ab21142e6d37
118,ISSP000118,121,313,352,5,2,82.7000,82.7000,82.7000,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d54293099e575160a60c4ee0f8d756aad54293099e575160a60c4ee0f8d756aa
119,ISSP000119,334,259,401,5,4,83.4000,83.4000,83.4000,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1c2bb682779359868aa66994c781df3e1c2bb682779359868aa66994c781df3e
120,ISSP000120,189,71,412,3,4,84.1000,84.1000,84.1000,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,56b8061fc29352cb9929a5c304b9435756b8061fc29352cb9929a5c304b94357
121,ISSP000121,122,315,252,4,6,84.8000,84.8000,84.8000,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,40d30228b5b15c46bdff3104a75de3cd40d30228b5b15c46bdff3104a75de3cd
122,ISSP000122,308,292,276,2,7,85.5000,85.5000,85.5000,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5857813f2a7b56e8abceac2de80979e35857813f2a7b56e8abceac2de80979e3
123,ISSP000123,69,345,272,4,1,86.2000,86.2000,86.2000,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22c7f517fa135b10a9b875b70adeee2c22c7f517fa135b10a9b875b70adeee2c
124,ISSP000124,133,212,258,3,1,86.9000,86.9000,86.9000,13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,488fd8b1ec2a5493bc129f7dd47df457488fd8b1ec2a5493bc129f7dd47df457
125,ISSP000125,126,138,241,5,1,87.6000,87.6000,87.6000,14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d638121227865c949117ec505443a361d638121227865c949117ec505443a361
126,ISSP000126,51,168,297,5,3,88.3000,88.3000,88.3000,15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,df5e4db0edf95a5fbb85273bdd9f64fedf5e4db0edf95a5fbb85273bdd9f64fe
127,ISSP000127,174,94,119,5,6,89.0000,89.0000,89.0000,16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2ed0e0216fe502ba7bc50f3330db788d2ed0e0216fe502ba7bc50f3330db788
128,ISSP000128,19,272,166,5,5,89.7000,89.7000,89.7000,17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0c72ceef561514880913ff79d61a5acb0c72ceef561514880913ff79d61a5ac
129,ISSP000129,263,307,165,3,2,90.4000,90.4000,90.4000,18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6260edeefcf25cabbcd592b318eb3f966260edeefcf25cabbcd592b318eb3f96
130,ISSP000130,387,197,347,4,7,91.1000,91.1000,91.1000,19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5f1d9c57f3615a91a3c1cfe18f4cd8fb5f1d9c57f3615a91a3c1cfe18f4cd8fb
131,ISSP000131,177,184,300,1,7,91.8000,91.8000,91.8000,20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09312a70dbb253cc830973b8614e9dc709312a70dbb253cc830973b8614e9dc7
132,ISSP000132,150,3,395,1,4,92.5000,92.5000,92.5000,21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f2ae65f7a58c5cd093ac550a4c615d41f2ae65f7a58c5cd093ac550a4c615d41
133,ISSP000133,10,329,18,2,7,93.2000,93.2000,93.2000,22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a4a467332f3851989e3df31d28cef08fa4a467332f3851989e3df31d28cef08f
134,ISSP000134,253,216,126,1,7,93.9000,93.9000,93.9000,23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,275c24304dcc5a2ba809e9828934b1ce275c24304dcc5a2ba809e9828934b1ce
135,ISSP000135,473,124,151,1,7,94.6000,94.6000,94.6000,24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,edeec6b018585001993fd1c39a8e7845edeec6b018585001993fd1c39a8e7845
136,ISSP000136,181,299,159,2,5,95.3000,95.3000,95.3000,25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,60a4737372f25467ba9d7ee109947db660a4737372f25467ba9d7ee109947db6
137,ISSP000137,143,267,430,2,7,96.0000,96.0000,96.0000,26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03271764213c5e45a74abf50c160d23603271764213c5e45a74abf50c160d236
138,ISSP000138,379,91,7,2,5,96.7000,96.7000,96.7000,27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e7ee99000bfa5194854298ca8ab41826e7ee99000bfa5194854298ca8ab41826
139,ISSP000139,209,244,24,2,4,97.4000,97.4000,97.4000,28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,72976972b8fa517296abb12ba54a41c272976972b8fa517296abb12ba54a41c2
140,ISSP000140,195,268,298,1,7,98.1000,98.1000,98.1000,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,552019b675325e21b26b033b30cf44a2552019b675325e21b26b033b30cf44a2
141,ISSP000141,361,8,302,1,5,98.8000,98.8000,98.8000,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,65c2e9793b385807a9e255f5805af45065c2e9793b385807a9e255f5805af450
142,ISSP000142,185,243,65,1,7,99.5000,99.5000,99.5000,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,06ddb43d3140574a9c21e164063a6e0506ddb43d3140574a9c21e164063a6e05
143,ISSP000143,385,181,495,1,6,100.2000,100.2000,100.2000,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e302728443c5f1b97e9c7695f4df1c16e302728443c5f1b97e9c7695f4df1c1
144,ISSP000144,471,208,448,5,1,100.9000,100.9000,100.9000,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,385dd95cecf45a42b66214bf7ff5edbb385dd95cecf45a42b66214bf7ff5edbb
145,ISSP000145,486,40,303,1,7,101.6000,101.6000,101.6000,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4eadc0ba4135427ab4f22f2ed6e2f8be4eadc0ba4135427ab4f22f2ed6e2f8b
146,ISSP000146,365,199,412,2,7,102.3000,102.3000,102.3000,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6331df78455954d8b4c8773a213511ff6331df78455954d8b4c8773a213511ff
147,ISSP000147,80,187,93,2,6,103.0000,103.0000,103.0000,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,59b73ff8d3e355328c03102151d7914859b73ff8d3e355328c03102151d79148
148,ISSP000148,442,348,383,3,1,103.7000,103.7000,103.7000,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,431f4c5ceb6f5a049caede68748570fa431f4c5ceb6f5a049caede68748570fa
149,ISSP000149,461,112,335,3,4,104.4000,104.4000,104.4000,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,649324dd05b95a6fadb6760ffca83300649324dd05b95a6fadb6760ffca83300
150,ISSP000150,411,283,316,3,2,105.1000,105.1000,105.1000,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,977c1ab24ba25538950ff6cd75c98ca5977c1ab24ba25538950ff6cd75c98ca5
151,ISSP000151,66,320,130,4,7,105.8000,105.8000,105.8000,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b27906bf3ea95290aebcfc511db6f74eb27906bf3ea95290aebcfc511db6f74e
152,ISSP000152,294,341,465,5,3,106.5000,106.5000,106.5000,13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8aacdcd26b225701bf496608f8aaf6198aacdcd26b225701bf496608f8aaf619
153,ISSP000153,263,120,468,1,2,107.2000,107.2000,107.2000,14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a3aa073e538e5c65842cabc4c52bfeaaa3aa073e538e5c65842cabc4c52bfeaa
154,ISSP000154,449,151,82,4,2,107.9000,107.9000,107.9000,15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,26746f70e3d25067983109e0c3d158b726746f70e3d25067983109e0c3d158b7
155,ISSP000155,87,102,215,2,1,108.6000,108.6000,108.6000,16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cfc7d33cee6f5518841bea295c057006cfc7d33cee6f5518841bea295c057006
156,ISSP000156,49,99,344,1,4,109.3000,109.3000,109.3000,17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81916c1f462559e18b41fa70ed86634f81916c1f462559e18b41fa70ed86634f
157,ISSP000157,332,148,382,4,4,110.0000,110.0000,110.0000,18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d990b222281e5a2ba2a6acb5af7e94abd990b222281e5a2ba2a6acb5af7e94ab
158,ISSP000158,207,326,257,3,5,110.7000,110.7000,110.7000,19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,627ca9ca95bc5b5b91d7ee329c2b92d7627ca9ca95bc5b5b91d7ee329c2b92d7
159,ISSP000159,349,4,5,3,1,111.4000,111.4000,111.4000,20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db255b218a3b5d11954a223d93c00c28db255b218a3b5d11954a223d93c00c28
160,ISSP000160,203,58,272,2,2,112.1000,112.1000,112.1000,21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c0c4d063bbd258318cf355a197158113c0c4d063bbd258318cf355a197158113
161,ISSP000161,317,166,117,4,5,112.8000,112.8000,112.8000,22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1ece9b1777625d6d81eeebbb00c967c91ece9b1777625d6d81eeebbb00c967c9
162,ISSP000162,62,231,24,4,5,113.5000,113.5000,113.5000,23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,999d0f2d6af351178fb7deec2d3364af999d0f2d6af351178fb7deec2d3364af
163,ISSP000163,290,199,89,3,4,114.2000,114.2000,114.2000,24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87ac3ce204865c589cc42d006850a3a987ac3ce204865c589cc42d006850a3a9
164,ISSP000164,368,21,154,1,1,114.9000,114.9000,114.9000,25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c093495f091d55c5a586d6c450cbcd81c093495f091d55c5a586d6c450cbcd81
165,ISSP000165,131,348,483,1,3,115.6000,115.6000,115.6000,26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a557e52cc89e5bdaae689b8b04c64680a557e52cc89e5bdaae689b8b04c64680
166,ISSP000166,218,193,426,5,2,116.3000,116.3000,116.3000,27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d3374a0e49335475b614c441faa39005d3374a0e49335475b614c441faa39005
167,ISSP000167,205,314,495,5,4,117.0000,117.0000,117.0000,28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,98773c097f3553e4963c99a786ae875198773c097f3553e4963c99a786ae8751
168,ISSP000168,476,15,317,5,5,117.7000,117.7000,117.7000,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9acd03b9e47e527a94fc7764d0652e1b9acd03b9e47e527a94fc7764d0652e1b
169,ISSP000169,329,117,304,1,5,118.4000,118.4000,118.4000,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d56d6664b385688be8e6a16f85b94cf5d56d6664b385688be8e6a16f85b94cf
170,ISSP000170,246,20,485,5,7,119.1000,119.1000,119.1000,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ba4e90003b2507c925a71d855bdfaff8ba4e90003b2507c925a71d855bdfaff
171,ISSP000171,38,234,469,1,1,119.8000,119.8000,119.8000,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,22b9c3057a2655b18dcdef9609292ed222b9c3057a2655b18dcdef9609292ed2
172,ISSP000172,147,344,326,5,1,120.5000,120.5000,120.5000,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,49199e8622f753508ed44414b5eba7b849199e8622f753508ed44414b5eba7b8
173,ISSP000173,99,25,245,4,7,121.2000,121.2000,121.2000,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6292da3cff605925a90a699b44088c6e6292da3cff605925a90a699b44088c6e
174,ISSP000174,324,129,450,1,2,121.9000,121.9000,121.9000,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,87cf09024d2f599a879057d97a85c89e87cf09024d2f599a879057d97a85c89e
175,ISSP000175,217,106,412,5,1,122.6000,122.6000,122.6000,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61b8acc8fb225b1ebcbf44c6b37c5e4e61b8acc8fb225b1ebcbf44c6b37c5e4e
176,ISSP000176,341,274,477,3,5,123.3000,123.3000,123.3000,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0115a67e5c453519ae15b2b633b9caaf0115a67e5c453519ae15b2b633b9caa
177,ISSP000177,111,119,274,3,2,124.0000,124.0000,124.0000,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0611c3cc600651f580e88da03f584fbb0611c3cc600651f580e88da03f584fbb
178,ISSP000178,65,247,486,5,2,124.7000,124.7000,124.7000,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0dfd5a215c2f5cc982b826770ea0a8aa0dfd5a215c2f5cc982b826770ea0a8aa
179,ISSP000179,496,327,68,4,3,125.4000,125.4000,125.4000,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,231277c3492350d9868bb4c05a5c5040231277c3492350d9868bb4c05a5c5040
180,ISSP000180,261,89,148,2,3,126.1000,126.1000,126.1000,13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2c2bc77784fd505ea11646e3b6dcb3922c2bc77784fd505ea11646e3b6dcb392
181,ISSP000181,66,106,277,2,3,126.8000,126.8000,126.8000,14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0700baba35c85d11aa476ef4446da9ab0700baba35c85d11aa476ef4446da9ab
182,ISSP000182,190,250,424,5,2,127.5000,127.5000,127.5000,15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,004d890c10d45afb83d90699e596257b004d890c10d45afb83d90699e596257b
183,ISSP000183,278,253,358,1,1,128.2000,128.2000,128.2000,16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b0027c07b2150408607dce300c7295b5b0027c07b2150408607dce300c7295b
184,ISSP000184,457,198,75,5,2,128.9000,128.9000,128.9000,17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce2ad8c38846595b95d7cb97178aba7ace2ad8c38846595b95d7cb97178aba7a
185,ISSP000185,76,45,176,3,1,129.6000,129.6000,129.6000,18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03aa7e886d965d9bb237f81acd8f30bc03aa7e886d965d9bb237f81acd8f30bc
186,ISSP000186,325,164,396,2,3,130.3000,130.3000,130.3000,19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8c347c10244851668726bc1141b1a1f08c347c10244851668726bc1141b1a1f0
187,ISSP000187,218,158,161,2,7,131.0000,131.0000,131.0000,20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba14965d40a25580a378fa9367c7d1a3ba14965d40a25580a378fa9367c7d1a3
188,ISSP000188,472,37,2,2,7,131.7000,131.7000,131.7000,21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,850cdc4bd5335c07a0d3e7e8b0540129850cdc4bd5335c07a0d3e7e8b0540129
189,ISSP000189,409,229,120,5,1,132.4000,132.4000,132.4000,22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d4c06c7e9ed58a791def623983bf6cd4d4c06c7e9ed58a791def623983bf6cd
190,ISSP000190,92,174,368,1,3,133.1000,133.1000,133.1000,23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a8e6668c50f59e8bebad2467153275f8a8e6668c50f59e8bebad2467153275f
191,ISSP000191,468,78,390,1,6,133.8000,133.8000,133.8000,24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,dceeba2b30e85c63b3d51d2cb4afc0eddceeba2b30e85c63b3d51d2cb4afc0ed
192,ISSP000192,28,110,117,2,2,134.5000,134.5000,134.5000,25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da85ed82af4953b1943478e109e0dd20da85ed82af4953b1943478e109e0dd20
193,ISSP000193,16,28,295,2,6,135.2000,135.2000,135.2000,26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e8204d0470c55434ac39334bd2336546e8204d0470c55434ac39334bd2336546
194,ISSP000194,25,155,213,2,4,135.9000,135.9000,135.9000,27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5570f590396b580c842f3046aeca88b15570f590396b580c842f3046aeca88b1
195,ISSP000195,384,236,382,5,3,136.6000,136.6000,136.6000,28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e6a0aeb71d5539c833500af5442e0dc6e6a0aeb71d5539c833500af5442e0dc
196,ISSP000196,170,312,34,5,6,137.3000,137.3000,137.3000,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7399e4b252995d73a173dde75e8a75fd7399e4b252995d73a173dde75e8a75fd
197,ISSP000197,111,107,330,1,2,138.0000,138.0000,138.0000,2,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,562c2b68f56455978078afd9377f1182562c2b68f56455978078afd9377f1182
198,ISSP000198,216,331,94,1,1,138.7000,138.7000,138.7000,3,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e268f939c73f5e788f08b1fcc792de2fe268f939c73f5e788f08b1fcc792de2f
199,ISSP000199,439,215,270,1,4,139.4000,139.4000,139.4000,4,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb205a789c7f51a7b24c9504a80d20e4cb205a789c7f51a7b24c9504a80d20e4
200,ISSP000200,372,71,4,1,5,140.1000,140.1000,140.1000,5,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6698f93412fa58dea4dd78fdb8fa53626698f93412fa58dea4dd78fdb8fa5362
201,ISSP000201,223,29,301,2,4,140.8000,140.8000,140.8000,6,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,448dbedcd39e579a8c843ae18b3be2fd448dbedcd39e579a8c843ae18b3be2fd
202,ISSP000202,152,284,268,2,3,141.5000,141.5000,141.5000,7,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,10c8e83cae9553f288e3586d9e65804210c8e83cae9553f288e3586d9e658042
203,ISSP000203,46,309,114,2,4,142.2000,142.2000,142.2000,8,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,185cfc6052c152c6b385e2ac49bdb269185cfc6052c152c6b385e2ac49bdb269
204,ISSP000204,117,67,463,2,5,142.9000,142.9000,142.9000,9,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25c9a51f2d8f55b892206451d6c48dca25c9a51f2d8f55b892206451d6c48dca
205,ISSP000205,378,124,13,2,1,143.6000,143.6000,143.6000,10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,96a86cbd550354448f1eea8298aa850296a86cbd550354448f1eea8298aa8502
206,ISSP000206,484,184,33,4,2,144.3000,144.3000,144.3000,11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3747ef8c2a1850d69483c079be8c6e7f3747ef8c2a1850d69483c079be8c6e7f
207,ISSP000207,47,95,484,4,2,145.0000,145.0000,145.0000,12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1b214fbf3045843b461c366b115976fd1b214fbf3045843b461c366b115976f
208,ISSP000208,410,95,54,4,6,145.7000,145.7000,145.7000,13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9c2a48da697c58ccbb1f05f89c7cdf3e9c2a48da697c58ccbb1f05f89c7cdf3e
209,ISSP000209,401,26,86,5,7,146.4000,146.4000,146.4000,14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef66c3b74ea6597b921e9cb4b4651dfaef66c3b74ea6597b921e9cb4b4651dfa
210,ISSP000210,439,216,447,1,1,147.1000,147.1000,147.1000,15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,628dc477f2655d7587f386e73b06b58b628dc477f2655d7587f386e73b06b58b
211,ISSP000211,342,237,268,1,7,147.8000,147.8000,147.8000,16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a1b7328dfbd5f208b8a9d6facb521c91a1b7328dfbd5f208b8a9d6facb521c9
212,ISSP000212,268,178,215,4,4,148.5000,148.5000,148.5000,17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e743ca1fad335a69b6276c412b9eff3ce743ca1fad335a69b6276c412b9eff3c
