ProductionOperationKey,ProductionOperationNumber,ProductionWorkOrderKey,WorkCenterKey,ProductionProcessStepKey,ProductionOrderStatusKey,ProductionOperationName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
102,PO000102,23,187,97,12,Zenith ProductionOperation 102,PO000102,1,149.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,13a799302e425a5e83f2c7f04a7dd49113a799302e425a5e83f2c7f04a7dd491
103,PO000103,239,408,35,8,Forge ProductionOperation 103,PO000103,1,151.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,78952846116a5c76aa73eb57715f478578952846116a5c76aa73eb57715f4785
104,PO000104,434,136,341,5,Granite ProductionOperation 104,PO000104,1,152.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bbd3ea5eff85c398517e8135843d4b93bbd3ea5eff85c398517e8135843d4b9
105,PO000105,134,18,89,1,Junction ProductionOperation 105,PO000105,0,153.8500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bcbf37b3da455a80a9bba10f4c914bc2bcbf37b3da455a80a9bba10f4c914bc2
106,PO000106,89,233,228,8,Quartz ProductionOperation 106,PO000106,1,155.2200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bedd4dbd002b5e05a64df6263d89d58bbedd4dbd002b5e05a64df6263d89d58b
107,PO000107,373,400,108,9,Ion ProductionOperation 107,PO000107,1,156.5900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a51e64c4059551518f87b3606ad1722fa51e64c4059551518f87b3606ad1722f
108,PO000108,333,411,13,8,Beacon ProductionOperation 108,PO000108,1,157.9600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6802455ce96d571d99cf158bb27305e16802455ce96d571d99cf158bb27305e1
109,PO000109,192,465,100,7,Summit ProductionOperation 109,PO000109,1,159.3300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3fd0b313306f5ea6987f444bc4128a173fd0b313306f5ea6987f444bc4128a17
110,PO000110,270,396,379,2,Beacon ProductionOperation 110,PO000110,0,160.7000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,77527f6c89f45f5ca80d4db1a60d7ac877527f6c89f45f5ca80d4db1a60d7ac8
111,PO000111,50,174,136,6,Unity ProductionOperation 111,PO000111,1,162.0700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81c3be2e9eb759c0b6c1653891ebbdbf81c3be2e9eb759c0b6c1653891ebbdbf
112,PO000112,284,166,491,2,Delta ProductionOperation 112,PO000112,1,163.4400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4d7289b154795727b6d954e02c1d7cde4d7289b154795727b6d954e02c1d7cde
113,PO000113,261,328,4,1,Forge ProductionOperation 113,PO000113,1,164.8100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1a8746c53abf5afbb5b90b5fa7dda5fb1a8746c53abf5afbb5b90b5fa7dda5fb
114,PO000114,229,457,16,3,Atlas ProductionOperation 114,PO000114,1,166.1800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3bb9985523b5d26aef4d2f903ed4216e3bb9985523b5d26aef4d2f903ed4216
115,PO000115,380,27,265,1,Keystone ProductionOperation 115,PO000115,0,167.5500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4f2108c23e2857b99314e1d32e4553f24f2108c23e2857b99314e1d32e4553f2
116,PO000116,325,203,429,3,Forge ProductionOperation 116,PO000116,1,168.9200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3bc70e1d98fd5a7599dc77e595fbc3cb3bc70e1d98fd5a7599dc77e595fbc3cb
117,PO000117,213,75,262,9,Granite ProductionOperation 117,PO000117,1,170.2900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb0b70eaca3e5a32b50ab562ad930d77fb0b70eaca3e5a32b50ab562ad930d77
118,PO000118,142,168,32,1,Beacon ProductionOperation 118,PO000118,1,171.6600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c2c5d63bcf145dc4a444d1942dfac502c2c5d63bcf145dc4a444d1942dfac502
119,PO000119,445,326,67,8,Vertex ProductionOperation 119,PO000119,1,173.0300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f84446df9f2e5daa9af15e591af30831f84446df9f2e5daa9af15e591af30831
120,PO000120,330,398,239,2,Junction ProductionOperation 120,PO000120,0,174.4000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cc651e49bdf45daa86b3a3c9fba66558cc651e49bdf45daa86b3a3c9fba66558
121,PO000121,141,66,190,5,Liberty ProductionOperation 121,PO000121,1,175.7700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c19eb78323b1538394a9aec17d1ada33c19eb78323b1538394a9aec17d1ada33
122,PO000122,376,14,96,6,Quartz ProductionOperation 122,PO000122,1,177.1400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,25180dcff8445c419945f0735bbaed2325180dcff8445c419945f0735bbaed23
123,PO000123,180,321,279,11,Forge ProductionOperation 123,PO000123,1,178.5100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8ed8430da645530ca43c098fdfbc77e88ed8430da645530ca43c098fdfbc77e8
124,PO000124,448,330,421,4,Summit ProductionOperation 124,PO000124,1,179.8800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,70b347d71e275832811ce3c90eb6172570b347d71e275832811ce3c90eb61725
125,PO000125,277,299,168,5,Forge ProductionOperation 125,PO000125,0,181.2500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23c163f666d6519b9a7634f141832d2723c163f666d6519b9a7634f141832d27
126,PO000126,226,37,171,6,Pioneer ProductionOperation 126,PO000126,1,182.6200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ecc706c098aa509fa3618ecba25c2c65ecc706c098aa509fa3618ecba25c2c65
127,PO000127,97,187,55,6,Vertex ProductionOperation 127,PO000127,1,183.9900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ca68430817fc5b939e09be8e75b18b7aca68430817fc5b939e09be8e75b18b7a
128,PO000128,101,430,311,6,Evergreen ProductionOperation 128,PO000128,1,185.3600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f7d38c0f86dd5ace9797a1673953c2def7d38c0f86dd5ace9797a1673953c2de
129,PO000129,353,406,142,11,Granite ProductionOperation 129,PO000129,1,186.7300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0369586830355f8a5cec64229618d08d0369586830355f8a5cec64229618d08
130,PO000130,384,390,482,6,Titan ProductionOperation 130,PO000130,0,188.1000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,23d5a5085a0f509fb4222e17e824bdfc23d5a5085a0f509fb4222e17e824bdfc
131,PO000131,306,114,54,2,Meridian ProductionOperation 131,PO000131,1,189.4700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,db49c5ffee9c5d7c8da19248d25b27d2db49c5ffee9c5d7c8da19248d25b27d2
132,PO000132,74,71,159,2,Summit ProductionOperation 132,PO000132,1,190.8400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1d8e236894cf5cf7b77cf360683905d31d8e236894cf5cf7b77cf360683905d3
133,PO000133,484,116,206,3,Titan ProductionOperation 133,PO000133,1,192.2100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,faf5c270882556399a33adfe6d38ceadfaf5c270882556399a33adfe6d38cead
134,PO000134,327,305,16,6,Northstar ProductionOperation 134,PO000134,1,193.5800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c3b182f3b3351e2a0b241f0371cde026c3b182f3b3351e2a0b241f0371cde02
135,PO000135,11,400,293,11,Vertex ProductionOperation 135,PO000135,0,194.9500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce0463c25f20588f9360fe8ffed3accdce0463c25f20588f9360fe8ffed3accd
136,PO000136,341,280,53,3,Forge ProductionOperation 136,PO000136,1,196.3200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b85152a422a051a8b78c3ce1b90866f6b85152a422a051a8b78c3ce1b90866f6
137,PO000137,339,323,408,3,Unity ProductionOperation 137,PO000137,1,197.6900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb0477ea599f5c59b3e73d2a83802d96cb0477ea599f5c59b3e73d2a83802d96
138,PO000138,310,119,96,9,Quartz ProductionOperation 138,PO000138,1,199.0600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7ebfcc0f7c2a54b0a1ffa17da3677f677ebfcc0f7c2a54b0a1ffa17da3677f67
139,PO000139,287,244,40,4,Vertex ProductionOperation 139,PO000139,1,200.4300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,69a6e372e6265d7db67a21900818822a69a6e372e6265d7db67a21900818822a
140,PO000140,465,399,227,6,Forge ProductionOperation 140,PO000140,0,201.8000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a155acf539585f58be47bb6d9eddcf76a155acf539585f58be47bb6d9eddcf76
141,PO000141,82,228,336,10,Zenith ProductionOperation 141,PO000141,1,203.1700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ba0da209e6365687911a5542327984d3ba0da209e6365687911a5542327984d3
142,PO000142,27,160,259,12,Orion ProductionOperation 142,PO000142,1,204.5400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f614c0c8265552349933edd107b560ddf614c0c8265552349933edd107b560dd
143,PO000143,232,343,371,5,Beacon ProductionOperation 143,PO000143,1,205.9100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b49d06c4700455ff87621c5f326a899cb49d06c4700455ff87621c5f326a899c
144,PO000144,430,21,245,11,Ion ProductionOperation 144,PO000144,1,207.2800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,335e263c497558969751749b657bd8e4335e263c497558969751749b657bd8e4
145,PO000145,54,69,428,9,Liberty ProductionOperation 145,PO000145,0,208.6500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cea59cec616b5fc28c977170caa713c7cea59cec616b5fc28c977170caa713c7
146,PO000146,134,183,193,9,Ion ProductionOperation 146,PO000146,1,210.0200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac7710f94b1f55fba01cca3cf2a31c3bac7710f94b1f55fba01cca3cf2a31c3b
147,PO000147,276,402,347,8,Keystone ProductionOperation 147,PO000147,1,211.3900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fc5435e96355561bc997a40790873c30fc5435e96355561bc997a40790873c3
148,PO000148,237,391,79,3,Northstar ProductionOperation 148,PO000148,1,212.7600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8f1d286eba1954a5bf08285c49a855318f1d286eba1954a5bf08285c49a85531
149,PO000149,4,391,53,6,Unity ProductionOperation 149,PO000149,1,214.1300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8ff7fc64cb95d55a65c059b623a6415c8ff7fc64cb95d55a65c059b623a6415
150,PO000150,230,187,424,4,Ion ProductionOperation 150,PO000150,0,215.5000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4269501892a75db79fa1085252c1977a4269501892a75db79fa1085252c1977a
151,PO000151,65,77,441,4,Granite ProductionOperation 151,PO000151,1,216.8700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de789a1c8d405887b01eaed305dcd148de789a1c8d405887b01eaed305dcd148
152,PO000152,182,117,65,11,Riverton ProductionOperation 152,PO000152,1,218.2400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,16ac0c1155ae5d8c9ab96b6f8f39b0b416ac0c1155ae5d8c9ab96b6f8f39b0b4
153,PO000153,117,133,420,3,Forge ProductionOperation 153,PO000153,1,219.6100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9a519f3b19b85588b9897e2718d1fdf39a519f3b19b85588b9897e2718d1fdf3
154,PO000154,10,385,9,2,Keystone ProductionOperation 154,PO000154,1,220.9800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0c4f7968be69584ba7d6d13623148d700c4f7968be69584ba7d6d13623148d70
155,PO000155,477,435,151,6,Northstar ProductionOperation 155,PO000155,0,222.3500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ac5f3f0f4a3857d793775fb6629bdec7ac5f3f0f4a3857d793775fb6629bdec7
156,PO000156,78,360,315,10,Cedar ProductionOperation 156,PO000156,1,223.7200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a543158db23f5883b50bd11647c6f77da543158db23f5883b50bd11647c6f77d
157,PO000157,67,484,466,6,Junction ProductionOperation 157,PO000157,1,225.0900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f4b6ec48340d56ee9ad193feac8e73e5f4b6ec48340d56ee9ad193feac8e73e5
158,PO000158,484,149,94,3,Harbor ProductionOperation 158,PO000158,1,226.4600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f73cdf65cd0b53019681a98ec0c85e88f73cdf65cd0b53019681a98ec0c85e88
159,PO000159,466,243,401,6,Ion ProductionOperation 159,PO000159,1,227.8300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,61c1d43136e6504a89779e6abffc585261c1d43136e6504a89779e6abffc5852
160,PO000160,283,282,357,9,Riverton ProductionOperation 160,PO000160,0,229.2000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fab5e5be1cfd5e60b175b3bc24773010fab5e5be1cfd5e60b175b3bc24773010
161,PO000161,85,80,367,11,Liberty ProductionOperation 161,PO000161,1,230.5700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7088cea0f87f588db4b3c77c1eb09d8d7088cea0f87f588db4b3c77c1eb09d8d
162,PO000162,17,251,227,8,Evergreen ProductionOperation 162,PO000162,1,231.9400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9526c78e45cc5560baa3935f8b37113e9526c78e45cc5560baa3935f8b37113e
163,PO000163,187,307,492,2,Cedar ProductionOperation 163,PO000163,1,233.3100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0f45722e1d9572485a420ab5979581cf0f45722e1d9572485a420ab5979581c
164,PO000164,231,332,36,1,Riverton ProductionOperation 164,PO000164,1,234.6800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce0d7fc8ef175b73834775d57d1ce920ce0d7fc8ef175b73834775d57d1ce920
165,PO000165,50,441,392,1,Quartz ProductionOperation 165,PO000165,0,236.0500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,82fcfbaa7bb25296a01ae8f7f62474f082fcfbaa7bb25296a01ae8f7f62474f0
166,PO000166,269,219,491,9,Summit ProductionOperation 166,PO000166,1,237.4200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0655679126f45751a9244c7b4504d4ba0655679126f45751a9244c7b4504d4ba
167,PO000167,466,437,291,9,Atlas ProductionOperation 167,PO000167,1,238.7900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ed7df8929765ddc8bb128a552c69f600ed7df8929765ddc8bb128a552c69f60
168,PO000168,325,456,363,10,Pioneer ProductionOperation 168,PO000168,1,240.1600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8f97fbbbf745dcfb790278e4cc944caf8f97fbbbf745dcfb790278e4cc944ca
169,PO000169,71,62,234,9,Granite ProductionOperation 169,PO000169,1,241.5300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b974f40548545f09bbf920628e93f2a2b974f40548545f09bbf920628e93f2a2
170,PO000170,62,420,63,7,Pioneer ProductionOperation 170,PO000170,0,242.9000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9cc5928ecefb5aa39570228e50f9d95c9cc5928ecefb5aa39570228e50f9d95c
171,PO000171,203,256,180,3,Ion ProductionOperation 171,PO000171,1,244.2700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4cbced9a2bd255f79a0bd08a9f35b1e74cbced9a2bd255f79a0bd08a9f35b1e7
172,PO000172,135,439,277,2,Ion ProductionOperation 172,PO000172,1,245.6400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,efbb317ddf8254cb9f318eade62261baefbb317ddf8254cb9f318eade62261ba
173,PO000173,317,446,389,11,Zenith ProductionOperation 173,PO000173,1,247.0100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2afbb58c10065cc88e863f791c8c6a902afbb58c10065cc88e863f791c8c6a90
174,PO000174,389,183,496,9,Meridian ProductionOperation 174,PO000174,1,248.3800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fbcf6f5ad9852848f3e0964ff0f3c2e2fbcf6f5ad9852848f3e0964ff0f3c2e
175,PO000175,472,442,347,2,Granite ProductionOperation 175,PO000175,0,249.7500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,24c2c2fc1b9f57ba8679fd8dba3ab1f124c2c2fc1b9f57ba8679fd8dba3ab1f1
176,PO000176,102,71,374,10,Riverton ProductionOperation 176,PO000176,1,251.1200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,734750301b8a5e44bda77c4390f09ba9734750301b8a5e44bda77c4390f09ba9
177,PO000177,137,109,466,4,Willow ProductionOperation 177,PO000177,1,252.4900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,977a35a3497a5e60be3e780c05ae7d4f977a35a3497a5e60be3e780c05ae7d4f
178,PO000178,228,153,483,3,Riverton ProductionOperation 178,PO000178,1,253.8600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d0b7437ae93757daab85215b92f09a49d0b7437ae93757daab85215b92f09a49
179,PO000179,210,88,37,6,Granite ProductionOperation 179,PO000179,1,255.2300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d1f51b913acf5f36a55f3c2d059b8fffd1f51b913acf5f36a55f3c2d059b8fff
180,PO000180,169,129,237,11,Riverton ProductionOperation 180,PO000180,0,256.6000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,57e90f6cb44b5572990ce01f1ea457ad57e90f6cb44b5572990ce01f1ea457ad
181,PO000181,495,267,22,2,Ion ProductionOperation 181,PO000181,1,257.9700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,54cf08ef54025571b108310392fcc86154cf08ef54025571b108310392fcc861
182,PO000182,119,74,346,1,Forge ProductionOperation 182,PO000182,1,259.3400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec1ea222b66755b38b6fa109ba3e43f3ec1ea222b66755b38b6fa109ba3e43f3
183,PO000183,167,181,125,7,Vertex ProductionOperation 183,PO000183,1,260.7100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,946bfd6c7ed6526b949abe7072bfa4f4946bfd6c7ed6526b949abe7072bfa4f4
184,PO000184,148,434,37,1,Summit ProductionOperation 184,PO000184,1,262.0800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ee4dcbccc9365259945b08ffde9a614dee4dcbccc9365259945b08ffde9a614d
185,PO000185,486,239,83,8,Liberty ProductionOperation 185,PO000185,0,263.4500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2e591865626b58cab556d180ec0060b42e591865626b58cab556d180ec0060b4
186,PO000186,304,150,374,6,Evergreen ProductionOperation 186,PO000186,1,264.8200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6691866a162a5196a9a12985add5aeca6691866a162a5196a9a12985add5aeca
187,PO000187,178,300,36,3,Beacon ProductionOperation 187,PO000187,1,266.1900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c91682e43a3a5c0ba0b595644db3d6dfc91682e43a3a5c0ba0b595644db3d6df
188,PO000188,427,52,219,5,Riverton ProductionOperation 188,PO000188,1,267.5600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3f85160653e058a0acac9539ead113cb3f85160653e058a0acac9539ead113cb
189,PO000189,283,309,204,4,Junction ProductionOperation 189,PO000189,1,268.9300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b877a1b207615e00b9bb5d1c8d9e8334b877a1b207615e00b9bb5d1c8d9e8334
190,PO000190,204,128,410,11,Orion ProductionOperation 190,PO000190,0,270.3000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7fa037d55d965558869e736ba5308a777fa037d55d965558869e736ba5308a77
191,PO000191,105,478,120,2,Orion ProductionOperation 191,PO000191,1,271.6700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e4332225d3f65236b118629a85e9f750e4332225d3f65236b118629a85e9f750
192,PO000192,128,127,408,11,Evergreen ProductionOperation 192,PO000192,1,273.0400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fd253b71445c55b8b97cb3d7bc9741e2fd253b71445c55b8b97cb3d7bc9741e2
193,PO000193,379,357,394,2,Evergreen ProductionOperation 193,PO000193,1,274.4100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,646090c49a845810af6002a00d840466646090c49a845810af6002a00d840466
194,PO000194,32,183,397,4,Delta ProductionOperation 194,PO000194,1,275.7800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6cb6e80c7fa1501a8aa243f9319381616cb6e80c7fa1501a8aa243f931938161
195,PO000195,146,110,244,6,Riverton ProductionOperation 195,PO000195,0,277.1500,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6be80b403ffc5460a7c7c76496b49b486be80b403ffc5460a7c7c76496b49b48
196,PO000196,47,450,200,8,Granite ProductionOperation 196,PO000196,1,278.5200,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d70c2c232d15ab1a00c186155638c682d70c2c232d15ab1a00c186155638c68
197,PO000197,281,39,52,5,Vertex ProductionOperation 197,PO000197,1,279.8900,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,adf8596d69be50ceb380468e38a8af17adf8596d69be50ceb380468e38a8af17
198,PO000198,191,489,388,12,Northstar ProductionOperation 198,PO000198,1,281.2600,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,85581954a67d536c91d9a16a403301ac85581954a67d536c91d9a16a403301ac
199,PO000199,58,316,465,9,Atlas ProductionOperation 199,PO000199,1,282.6300,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9bc672e537c95becaddbb5de20403eca9bc672e537c95becaddbb5de20403eca
200,PO000200,206,376,439,1,Junction ProductionOperation 200,PO000200,0,284.0000,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e2289c9b442b53688790e3a0ab8bcd15e2289c9b442b53688790e3a0ab8bcd15
201,PO000201,287,138,425,11,Granite ProductionOperation 201,PO000201,1,285.3700,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8a5eaf45f64d5987bc8a6f7987c3b4918a5eaf45f64d5987bc8a6f7987c3b491
202,PO000202,151,12,498,11,Liberty ProductionOperation 202,PO000202,1,286.7400,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f8e27f98213350f1abda8e0cb1d7dde3f8e27f98213350f1abda8e0cb1d7dde3
203,PO000203,319,310,380,7,Delta ProductionOperation 203,PO000203,1,288.1100,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b42945c266265fd29739b9345fd7fffdb42945c266265fd29739b9345fd7fffd
204,PO000204,28,132,170,3,Liberty ProductionOperation 204,PO000204,1,289.4800,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0fb7ff179b945578b406a61366d8ac2d0fb7ff179b945578b406a61366d8ac2d
