DateKey,CalendarWeekKey,FiscalPeriodKey,YesNoFlagKey,FullDate,DayName,DayOfWeekNumber,IsoDayOfWeekNumber,DayOfMonthNumber,DayOfYearNumber,WeekOfYearNumber,IsoWeekNumber,CalendarMonthNumber,CalendarMonthName,CalendarMonthShortName,CalendarQuarterNumber,CalendarYearNumber,FiscalPeriodNumber,FiscalQuarterNumber,FiscalYearNumber,IsWeekend,IsHoliday,HolidayName,JulianDayNumber,DaysFromToday,WeeksFromToday,MonthsFromToday,IsMonthEnd,IsQuarterEnd,IsYearEnd,SourceSystemKey,BatchId,LoadedAtUtc
20200705,27,1,2,2020-07-05,Sunday,1,7,5,187,28,27,7,July,Jul,3,2020,1,1,2021,1,0,N/A,737611,-2241,-321,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200706,28,1,1,2020-07-06,Monday,2,1,6,188,28,28,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737612,-2240,-320,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200707,28,1,1,2020-07-07,Tuesday,3,2,7,189,28,28,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737613,-2239,-320,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200708,28,1,1,2020-07-08,Wednesday,4,3,8,190,28,28,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737614,-2238,-320,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200709,28,1,1,2020-07-09,Thursday,5,4,9,191,28,28,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737615,-2237,-320,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200710,28,1,1,2020-07-10,Friday,6,5,10,192,28,28,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737616,-2236,-320,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200711,28,1,2,2020-07-11,Saturday,7,6,11,193,28,28,7,July,Jul,3,2020,1,1,2021,1,0,N/A,737617,-2235,-320,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200712,28,1,2,2020-07-12,Sunday,1,7,12,194,29,28,7,July,Jul,3,2020,1,1,2021,1,0,N/A,737618,-2234,-320,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200713,29,1,1,2020-07-13,Monday,2,1,13,195,29,29,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737619,-2233,-319,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200714,29,1,1,2020-07-14,Tuesday,3,2,14,196,29,29,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737620,-2232,-319,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200715,29,1,1,2020-07-15,Wednesday,4,3,15,197,29,29,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737621,-2231,-319,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200716,29,1,1,2020-07-16,Thursday,5,4,16,198,29,29,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737622,-2230,-319,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200717,29,1,1,2020-07-17,Friday,6,5,17,199,29,29,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737623,-2229,-319,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200718,29,1,2,2020-07-18,Saturday,7,6,18,200,29,29,7,July,Jul,3,2020,1,1,2021,1,0,N/A,737624,-2228,-319,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200719,29,1,2,2020-07-19,Sunday,1,7,19,201,30,29,7,July,Jul,3,2020,1,1,2021,1,0,N/A,737625,-2227,-319,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200720,30,1,1,2020-07-20,Monday,2,1,20,202,30,30,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737626,-2226,-318,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200721,30,1,1,2020-07-21,Tuesday,3,2,21,203,30,30,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737627,-2225,-318,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200722,30,1,1,2020-07-22,Wednesday,4,3,22,204,30,30,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737628,-2224,-318,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200723,30,1,1,2020-07-23,Thursday,5,4,23,205,30,30,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737629,-2223,-318,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200724,30,1,1,2020-07-24,Friday,6,5,24,206,30,30,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737630,-2222,-318,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200725,30,1,2,2020-07-25,Saturday,7,6,25,207,30,30,7,July,Jul,3,2020,1,1,2021,1,0,N/A,737631,-2221,-318,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200726,30,1,2,2020-07-26,Sunday,1,7,26,208,31,30,7,July,Jul,3,2020,1,1,2021,1,0,N/A,737632,-2220,-318,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200727,31,1,1,2020-07-27,Monday,2,1,27,209,31,31,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737633,-2219,-317,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200728,31,1,1,2020-07-28,Tuesday,3,2,28,210,31,31,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737634,-2218,-317,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200729,31,1,1,2020-07-29,Wednesday,4,3,29,211,31,31,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737635,-2217,-317,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200730,31,1,1,2020-07-30,Thursday,5,4,30,212,31,31,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737636,-2216,-317,-73,0,0,0,1,1,2026-08-24T00:00:00.000
20200731,31,1,1,2020-07-31,Friday,6,5,31,213,31,31,7,July,Jul,3,2020,1,1,2021,0,0,N/A,737637,-2215,-317,-73,1,0,0,1,1,2026-08-24T00:00:00.000
20200801,31,2,2,2020-08-01,Saturday,7,6,1,214,31,31,8,August,Aug,3,2020,2,1,2021,1,0,N/A,737638,-2214,-317,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200802,31,2,2,2020-08-02,Sunday,1,7,2,215,32,31,8,August,Aug,3,2020,2,1,2021,1,0,N/A,737639,-2213,-317,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200803,32,2,1,2020-08-03,Monday,2,1,3,216,32,32,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737640,-2212,-316,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200804,32,2,1,2020-08-04,Tuesday,3,2,4,217,32,32,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737641,-2211,-316,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200805,32,2,1,2020-08-05,Wednesday,4,3,5,218,32,32,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737642,-2210,-316,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200806,32,2,1,2020-08-06,Thursday,5,4,6,219,32,32,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737643,-2209,-316,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200807,32,2,1,2020-08-07,Friday,6,5,7,220,32,32,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737644,-2208,-316,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200808,32,2,2,2020-08-08,Saturday,7,6,8,221,32,32,8,August,Aug,3,2020,2,1,2021,1,0,N/A,737645,-2207,-316,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200809,32,2,2,2020-08-09,Sunday,1,7,9,222,33,32,8,August,Aug,3,2020,2,1,2021,1,0,N/A,737646,-2206,-316,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200810,33,2,1,2020-08-10,Monday,2,1,10,223,33,33,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737647,-2205,-315,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200811,33,2,1,2020-08-11,Tuesday,3,2,11,224,33,33,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737648,-2204,-315,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200812,33,2,1,2020-08-12,Wednesday,4,3,12,225,33,33,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737649,-2203,-315,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200813,33,2,1,2020-08-13,Thursday,5,4,13,226,33,33,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737650,-2202,-315,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200814,33,2,1,2020-08-14,Friday,6,5,14,227,33,33,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737651,-2201,-315,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200815,33,2,2,2020-08-15,Saturday,7,6,15,228,33,33,8,August,Aug,3,2020,2,1,2021,1,0,N/A,737652,-2200,-315,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200816,33,2,2,2020-08-16,Sunday,1,7,16,229,34,33,8,August,Aug,3,2020,2,1,2021,1,0,N/A,737653,-2199,-315,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200817,34,2,1,2020-08-17,Monday,2,1,17,230,34,34,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737654,-2198,-314,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200818,34,2,1,2020-08-18,Tuesday,3,2,18,231,34,34,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737655,-2197,-314,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200819,34,2,1,2020-08-19,Wednesday,4,3,19,232,34,34,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737656,-2196,-314,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200820,34,2,1,2020-08-20,Thursday,5,4,20,233,34,34,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737657,-2195,-314,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200821,34,2,1,2020-08-21,Friday,6,5,21,234,34,34,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737658,-2194,-314,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200822,34,2,2,2020-08-22,Saturday,7,6,22,235,34,34,8,August,Aug,3,2020,2,1,2021,1,0,N/A,737659,-2193,-314,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200823,34,2,2,2020-08-23,Sunday,1,7,23,236,35,34,8,August,Aug,3,2020,2,1,2021,1,0,N/A,737660,-2192,-314,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200824,35,2,1,2020-08-24,Monday,2,1,24,237,35,35,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737661,-2191,-313,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200825,35,2,1,2020-08-25,Tuesday,3,2,25,238,35,35,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737662,-2190,-313,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200826,35,2,1,2020-08-26,Wednesday,4,3,26,239,35,35,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737663,-2189,-313,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200827,35,2,1,2020-08-27,Thursday,5,4,27,240,35,35,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737664,-2188,-313,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200828,35,2,1,2020-08-28,Friday,6,5,28,241,35,35,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737665,-2187,-313,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200829,35,2,2,2020-08-29,Saturday,7,6,29,242,35,35,8,August,Aug,3,2020,2,1,2021,1,0,N/A,737666,-2186,-313,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200830,35,2,2,2020-08-30,Sunday,1,7,30,243,36,35,8,August,Aug,3,2020,2,1,2021,1,0,N/A,737667,-2185,-313,-72,0,0,0,1,1,2026-08-24T00:00:00.000
20200831,36,2,1,2020-08-31,Monday,2,1,31,244,36,36,8,August,Aug,3,2020,2,1,2021,0,0,N/A,737668,-2184,-312,-72,1,0,0,1,1,2026-08-24T00:00:00.000
20200901,36,3,1,2020-09-01,Tuesday,3,2,1,245,36,36,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737669,-2183,-312,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200902,36,3,1,2020-09-02,Wednesday,4,3,2,246,36,36,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737670,-2182,-312,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200903,36,3,1,2020-09-03,Thursday,5,4,3,247,36,36,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737671,-2181,-312,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200904,36,3,1,2020-09-04,Friday,6,5,4,248,36,36,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737672,-2180,-312,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200905,36,3,2,2020-09-05,Saturday,7,6,5,249,36,36,9,September,Sep,3,2020,3,1,2021,1,0,N/A,737673,-2179,-312,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200906,36,3,2,2020-09-06,Sunday,1,7,6,250,37,36,9,September,Sep,3,2020,3,1,2021,1,0,N/A,737674,-2178,-312,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200907,37,3,1,2020-09-07,Monday,2,1,7,251,37,37,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737675,-2177,-311,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200908,37,3,1,2020-09-08,Tuesday,3,2,8,252,37,37,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737676,-2176,-311,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200909,37,3,1,2020-09-09,Wednesday,4,3,9,253,37,37,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737677,-2175,-311,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200910,37,3,1,2020-09-10,Thursday,5,4,10,254,37,37,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737678,-2174,-311,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200911,37,3,1,2020-09-11,Friday,6,5,11,255,37,37,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737679,-2173,-311,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200912,37,3,2,2020-09-12,Saturday,7,6,12,256,37,37,9,September,Sep,3,2020,3,1,2021,1,0,N/A,737680,-2172,-311,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200913,37,3,2,2020-09-13,Sunday,1,7,13,257,38,37,9,September,Sep,3,2020,3,1,2021,1,0,N/A,737681,-2171,-311,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200914,38,3,1,2020-09-14,Monday,2,1,14,258,38,38,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737682,-2170,-310,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200915,38,3,1,2020-09-15,Tuesday,3,2,15,259,38,38,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737683,-2169,-310,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200916,38,3,1,2020-09-16,Wednesday,4,3,16,260,38,38,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737684,-2168,-310,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200917,38,3,1,2020-09-17,Thursday,5,4,17,261,38,38,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737685,-2167,-310,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200918,38,3,1,2020-09-18,Friday,6,5,18,262,38,38,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737686,-2166,-310,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200919,38,3,2,2020-09-19,Saturday,7,6,19,263,38,38,9,September,Sep,3,2020,3,1,2021,1,0,N/A,737687,-2165,-310,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200920,38,3,2,2020-09-20,Sunday,1,7,20,264,39,38,9,September,Sep,3,2020,3,1,2021,1,0,N/A,737688,-2164,-310,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200921,39,3,1,2020-09-21,Monday,2,1,21,265,39,39,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737689,-2163,-309,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200922,39,3,1,2020-09-22,Tuesday,3,2,22,266,39,39,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737690,-2162,-309,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200923,39,3,1,2020-09-23,Wednesday,4,3,23,267,39,39,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737691,-2161,-309,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200924,39,3,1,2020-09-24,Thursday,5,4,24,268,39,39,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737692,-2160,-309,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200925,39,3,1,2020-09-25,Friday,6,5,25,269,39,39,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737693,-2159,-309,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200926,39,3,2,2020-09-26,Saturday,7,6,26,270,39,39,9,September,Sep,3,2020,3,1,2021,1,0,N/A,737694,-2158,-309,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200927,39,3,2,2020-09-27,Sunday,1,7,27,271,40,39,9,September,Sep,3,2020,3,1,2021,1,0,N/A,737695,-2157,-309,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200928,40,3,1,2020-09-28,Monday,2,1,28,272,40,40,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737696,-2156,-308,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200929,40,3,1,2020-09-29,Tuesday,3,2,29,273,40,40,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737697,-2155,-308,-71,0,0,0,1,1,2026-08-24T00:00:00.000
20200930,40,3,1,2020-09-30,Wednesday,4,3,30,274,40,40,9,September,Sep,3,2020,3,1,2021,0,0,N/A,737698,-2154,-308,-71,1,1,0,1,1,2026-08-24T00:00:00.000
20201001,40,4,1,2020-10-01,Thursday,5,4,1,275,40,40,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737699,-2153,-308,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201002,40,4,1,2020-10-02,Friday,6,5,2,276,40,40,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737700,-2152,-308,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201003,40,4,2,2020-10-03,Saturday,7,6,3,277,40,40,10,October,Oct,4,2020,4,2,2021,1,0,N/A,737701,-2151,-308,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201004,40,4,2,2020-10-04,Sunday,1,7,4,278,41,40,10,October,Oct,4,2020,4,2,2021,1,0,N/A,737702,-2150,-308,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201005,41,4,1,2020-10-05,Monday,2,1,5,279,41,41,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737703,-2149,-307,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201006,41,4,1,2020-10-06,Tuesday,3,2,6,280,41,41,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737704,-2148,-307,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201007,41,4,1,2020-10-07,Wednesday,4,3,7,281,41,41,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737705,-2147,-307,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201008,41,4,1,2020-10-08,Thursday,5,4,8,282,41,41,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737706,-2146,-307,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201009,41,4,1,2020-10-09,Friday,6,5,9,283,41,41,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737707,-2145,-307,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201010,41,4,2,2020-10-10,Saturday,7,6,10,284,41,41,10,October,Oct,4,2020,4,2,2021,1,0,N/A,737708,-2144,-307,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201011,41,4,2,2020-10-11,Sunday,1,7,11,285,42,41,10,October,Oct,4,2020,4,2,2021,1,0,N/A,737709,-2143,-307,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201012,42,4,1,2020-10-12,Monday,2,1,12,286,42,42,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737710,-2142,-306,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201013,42,4,1,2020-10-13,Tuesday,3,2,13,287,42,42,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737711,-2141,-306,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201014,42,4,1,2020-10-14,Wednesday,4,3,14,288,42,42,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737712,-2140,-306,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201015,42,4,1,2020-10-15,Thursday,5,4,15,289,42,42,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737713,-2139,-306,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201016,42,4,1,2020-10-16,Friday,6,5,16,290,42,42,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737714,-2138,-306,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201017,42,4,2,2020-10-17,Saturday,7,6,17,291,42,42,10,October,Oct,4,2020,4,2,2021,1,0,N/A,737715,-2137,-306,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201018,42,4,2,2020-10-18,Sunday,1,7,18,292,43,42,10,October,Oct,4,2020,4,2,2021,1,0,N/A,737716,-2136,-306,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201019,43,4,1,2020-10-19,Monday,2,1,19,293,43,43,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737717,-2135,-305,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201020,43,4,1,2020-10-20,Tuesday,3,2,20,294,43,43,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737718,-2134,-305,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201021,43,4,1,2020-10-21,Wednesday,4,3,21,295,43,43,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737719,-2133,-305,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201022,43,4,1,2020-10-22,Thursday,5,4,22,296,43,43,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737720,-2132,-305,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201023,43,4,1,2020-10-23,Friday,6,5,23,297,43,43,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737721,-2131,-305,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201024,43,4,2,2020-10-24,Saturday,7,6,24,298,43,43,10,October,Oct,4,2020,4,2,2021,1,0,N/A,737722,-2130,-305,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201025,43,4,2,2020-10-25,Sunday,1,7,25,299,44,43,10,October,Oct,4,2020,4,2,2021,1,0,N/A,737723,-2129,-305,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201026,44,4,1,2020-10-26,Monday,2,1,26,300,44,44,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737724,-2128,-304,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201027,44,4,1,2020-10-27,Tuesday,3,2,27,301,44,44,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737725,-2127,-304,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201028,44,4,1,2020-10-28,Wednesday,4,3,28,302,44,44,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737726,-2126,-304,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201029,44,4,1,2020-10-29,Thursday,5,4,29,303,44,44,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737727,-2125,-304,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201030,44,4,1,2020-10-30,Friday,6,5,30,304,44,44,10,October,Oct,4,2020,4,2,2021,0,0,N/A,737728,-2124,-304,-70,0,0,0,1,1,2026-08-24T00:00:00.000
20201031,44,4,2,2020-10-31,Saturday,7,6,31,305,44,44,10,October,Oct,4,2020,4,2,2021,1,0,N/A,737729,-2123,-304,-70,1,0,0,1,1,2026-08-24T00:00:00.000
20201101,44,5,2,2020-11-01,Sunday,1,7,1,306,45,44,11,November,Nov,4,2020,5,2,2021,1,0,N/A,737730,-2122,-304,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201102,45,5,1,2020-11-02,Monday,2,1,2,307,45,45,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737731,-2121,-303,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201103,45,5,1,2020-11-03,Tuesday,3,2,3,308,45,45,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737732,-2120,-303,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201104,45,5,1,2020-11-04,Wednesday,4,3,4,309,45,45,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737733,-2119,-303,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201105,45,5,1,2020-11-05,Thursday,5,4,5,310,45,45,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737734,-2118,-303,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201106,45,5,1,2020-11-06,Friday,6,5,6,311,45,45,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737735,-2117,-303,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201107,45,5,2,2020-11-07,Saturday,7,6,7,312,45,45,11,November,Nov,4,2020,5,2,2021,1,0,N/A,737736,-2116,-303,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201108,45,5,2,2020-11-08,Sunday,1,7,8,313,46,45,11,November,Nov,4,2020,5,2,2021,1,0,N/A,737737,-2115,-303,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201109,46,5,1,2020-11-09,Monday,2,1,9,314,46,46,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737738,-2114,-302,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201110,46,5,1,2020-11-10,Tuesday,3,2,10,315,46,46,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737739,-2113,-302,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201111,46,5,1,2020-11-11,Wednesday,4,3,11,316,46,46,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737740,-2112,-302,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201112,46,5,1,2020-11-12,Thursday,5,4,12,317,46,46,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737741,-2111,-302,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201113,46,5,1,2020-11-13,Friday,6,5,13,318,46,46,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737742,-2110,-302,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201114,46,5,2,2020-11-14,Saturday,7,6,14,319,46,46,11,November,Nov,4,2020,5,2,2021,1,0,N/A,737743,-2109,-302,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201115,46,5,2,2020-11-15,Sunday,1,7,15,320,47,46,11,November,Nov,4,2020,5,2,2021,1,0,N/A,737744,-2108,-302,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201116,47,5,1,2020-11-16,Monday,2,1,16,321,47,47,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737745,-2107,-301,-69,0,0,0,1,1,2026-08-24T00:00:00.000
20201117,47,5,1,2020-11-17,Tuesday,3,2,17,322,47,47,11,November,Nov,4,2020,5,2,2021,0,0,N/A,737746,-2106,-301,-69,0,0,0,1,1,2026-08-24T00:00:00.000
